id,objective_id,title_en_GB
285,94,investigating structure and balance in contemporary architecture and sculpture
286,95,designing a model with moving parts
287,95,designing large-scale papier maché forms and structures
288,95,"designing non-representational structures in relief, concentrating on planes, shapes, rhythm, the play of light and shadow, texture"
289,95,designing theme-based structures relating to local events and festivals
290,95,designing wire structures that emphasise line and are effective from all angles
291,95,"monsters, dinosaurs, huge masks"
292,95,using a suitable CAD program (where available) to design a structure
293,96,describing what is happening in the drawing
294,96,"how movement, rhythm and form are suggested"
295,96,other interpretations of the theme or how he/she would approach it
296,96,problems encountered and solutions found in interpreting the human figure
297,96,the choice of materials and tools and the effects that were intended
298,96,the most satisfying aspect of the drawing
299,96,the use of overlapping and/or scale to suggest space in depth on a page
300,96,what he/she feels about the interpretation
301,97,calligraphic styles (the Book of Kells)
302,97,cartoon figures in action
303,97,movement in nature (cloud shapes)
304,98,"aspects of the environment when viewed from different angles, using a viewfinder (or a classroom window) to help position objects and define space"
305,98,details of the human figure (e.g. a portrait of a classmate)
306,98,still life arrangements
307,98,the human figure (e.g. a classmate in a particular setting)
308,99,characters in cartoon strips
309,99,designing and sketching plans for a three dimensional project
310,99,"dream cars, motorcycles or houses"
311,99,futuristic fashion
312,99,"stories, poems, songs"
313,100,"concentrating as appropriate on outline drawing, silhouette, shape, tone, texture, pattern and rhythm and structure"
314,100,"looking closely at specially chosen objects and interpreting qualities of line, shape, texture, light and shade"
315,101,"pastimes, outings, special events"
316,102,an inventive and distinctive costume as a variation on a theme for members of a band
317,102,using a computer art program to create and modify a costume design
318,103,a simple batik experiment
319,103,"experimenting with line, shape, colour, pattern, texture, with variously textured fibres and open-weave fabric"
320,103,inventing stitches for decorative effect
321,103,textural effects with basic knitting and crochet stitches and woven-in items
322,104,"making inventive use of old clothes and pieces of fabric to make toys based on stories, poems, drama"
323,105,combining knitting or crochet with other elements to create pieces of jewellery
324,105,designing a collage or appliqué piece on an imaginative theme
325,105,"developing the motif as a pattern, possibly as a repeat pattern to be used in fabric printing"
326,105,"interpreting a natural object in line, shape, colour, pattern, texture through collage or appliqué"
327,105,items for personal wear
328,105,knitting or crocheting small individual pieces
329,105,weaving a wall-hanging using the natural environment as a source of visual inspiration
330,106,describing the piece of work
331,106,how challenges in construction and design were or could be overcome
332,106,"how different textures, colours and patterns combine"
333,106,how the materials chosen may have suggested ways of interpreting an idea
334,106,what is pleasing about the work
335,109,colour and pattern
336,109,"covering, folding and draping qualities"
337,109,"soft, fluffy, coarse, smooth, stiff, warm, cool, finely or thickly woven or structured, textured"
338,109,the work of artists who have used these fabrics
339,110,"complementary or harmonious colours and tones, and subtle colour differences"
340,110,describing what is happening in the painting
341,110,how he/she feels about the painting
342,110,how other artists have interpreted the theme in similar or dissimilar ways
343,110,"how rhythm, movement, atmosphere, variety, space-in-depth or form is suggested"
344,110,using the internet or a CD-ROM to access the work of an artist and to answer questions as above
345,110,what he/she or the artist was trying to express
346,111,looking at and trying to reproduce the colour combinations of objects of visual interest
347,111,using colour magazine cut-outs as an exercise in colour mixing
348,112,mixing and juxtaposing colours to see how they react against each other
349,113,"using repetition and variation of complementary and harmonious colours and varieties of line, shape and texture"
350,114,"paint, crayons, oil and chalk pastels, chalks, inks, coloured pencils, felt-tipped and fibretipped pens"
351,114,"print, appliqué, collage, tonal exercises in small-scale mosaic"
352,115,discovering texture in natural and manufactured objects
353,115,interpreting textures in colour and tone and in mixed media
354,116,classmates acting as models to capture the action
355,116,"stories and poems, including dramatic, atmospheric adventure stories"
356,117,"experimenting with colour and tone, with warm and cool colours, with overlapping, with basic aerial and linear perspective"
357,117,interpreting themes chosen for their colour possibilities that reflect broadening experiences and interests
358,118,a portrait of a classmate in tones of one colour
359,118,"aspects of the environment when viewed from different angles, using a view finder to help position objects or define space"
360,118,"playing in a band, fashion modelling"
361,118,setting up and painting colour arrangements of his/her own choice
362,118,the human figure or groups of figures in a particular setting
363,118,using colour and tone to create spatial effects
364,119,describing the print
365,119,"line, shape and negative shape, texture, pattern, colour and tone and the effect achieved"
366,119,the decisions taken while working
367,119,the most satisfactory elements or impact of the print
368,119,the techniques used by the artist and speculating on why they were chosen
369,121,discovering how simple prints could be further developed
370,121,"experimenting with a related technique to make photograms that concentrate on expressive shape, negative shape, outline"
371,121,masking out areas and taking a further print
372,121,overlapping or placing shapes side by side
373,121,overprinting with contrasting shapes or colours
374,121,using an expanding colour range to create more complex images
375,122,designing and printing cards and logos
376,122,experimenting with fabric-printing techniques
377,122,making posters
378,124,combining with other print-making techniques
379,124,"composing relief print blocks with line, shape, texture, pattern"
380,124,interpreting some of his/her drawings in terms of flat shape or silhouette together with some interesting textures
381,124,making a variety of relief prints
382,124,"making monoprints, emphasising line, shape, texture"
383,124,making pictorial rubbings
384,124,making silk-screen prints
385,124,re-interpreting his/her observational drawings and sketches in relief prints
386,124,re-interpreting some of his/her drawings as flat shape
387,125,beginning to distinguish between shapes that lie flat and solid forms that stand up on their own
388,125,"fat, twisty, squat, bumpy"
389,125,making a variety of forms in clay
390,125,"squeezing, pinching, pulling, squashing, prodding a small ball of clay"
391,125,tearing pieces from the clay and putting them together again
392,126,"pressing sticks, lollipop sticks, feathers or buttons into the clay"
393,127,"experimenting with surface mark-making, texture and pattern"
394,127,making a variety of real or imaginary animals
395,127,talking about the marks made
396,127,turning a ball of clay into an imaginary creature
397,128,describing the clay form
398,128,how he/she enjoyed manipulating the clay
399,128,how the craftsperson may have worked with it
400,128,materials and tools used
401,128,what he/she likes best about the clay form
402,129,"feeling and handling natural forms (e.g. smooth stones, pieces of smooth tree branches, suitable fruit)"
403,130,describing the structure
404,130,how the pieces were put together
405,130,the materials and tools chosen
406,130,what he/she likes best about the work
407,131,"a public building, farm buildings"
408,131,"deciding how many pieces were used to make a table, a swing, a seesaw"
409,132,"doll's house, toy buildings, pop-up structures, birds' nests, model farms, simple furniture in the room, cutlery trays"
410,133,"discovering the tallest, lowest, widest, narrowest parts of the structure"
411,133,"grouping, balancing and building with small components and with construction toys that allow free play"
412,133,rearranging the structure
413,134,drawing or painting what it might be like to be in that structure
414,134,making a stabile to explore line and shape in a structure
415,134,"making an imaginative dwelling using boxes, pieces of polystyrene"
416,134,making an imaginative play structure with large boxes balanced on each other
417,134,making an imaginative plaything (e.g. making a space helmet or party hat using a large box)
418,134,painting the finished work in a limited colour range to focus on colour and pure colour (hue)
419,135,describing what is happening in the drawing
420,135,his/her favourite part
421,135,how he/she enjoyed making the drawing
422,135,how the artist might have worked
423,135,the different kinds of marks made
424,136,"curvy, straight-edged, big, small, simple, complicated shapes"
425,136,"line in stones, leaves, hanks of yarn"
426,137,exploring the mark-making possibilities ofcomputer drawing tools
427,137,"wriggly, smudgy, gritty, very light, very dark crayons, soft pencils, chalks, textured papers"
428,138,interpreting some of these textures in markmaking and rubbings
429,138,texture in natural and manufactured objects
430,139,dreams and longings
431,139,home and play
432,139,special occasions
433,140,discovering how different textures feel and how they compare when put together
434,140,"discovering the effects that can be created by adding a variety of strings, ribbons or large beads"
435,140,investigating open-weave fabric (e.g. hessian)
436,141,for an imaginary character
437,142,"""dressing up"" a life-size drawing of him/herself or of an imaginary creature"
438,142,"developing a colourful theme in a simple collage of fabrics, fibres, beads, buttons"
439,142,"making a collage with the emphasis on rhythm (e.g. talking about moving, swirling water)"
440,142,making a collage with the emphasis on texture
441,143,describing the piece of work
442,143,how he/she enjoyed making it
443,143,"the colours used to create shapes, textures, patterns"
444,143,what he/she likes best about the work
445,144,colour and pattern
446,144,"curtains, towels, dishcloths, clothes, ropes made of natural and synthetic fibres"
447,144,finely or thickly woven
448,144,"soft, fluffy, coarse, stiff, warm, cool"
449,145,describing what is happening in the painting
450,145,his/her favourite part
451,145,how he/she enjoyed making them
452,145,how the artist might have used colour
453,145,"the colours used to create lines, shapes and light and dark areas"
454,146,beginning to distinguish between lighter and darker colours
455,146,making paintings with a single colour and black and white
456,147,experimenting in matching their colours in an elementary way
457,147,"stones, flowers, colour magazine cut-outs, fabric scraps"
458,148,"texture created using paint, brushes and found objects in a variety of ways"
459,148,texture in natural and manufactured objects
460,149,experimenting with colour-mixing
461,149,exploring the colour possibilities of computer painting tools
462,149,"paint, coloured pencils and crayons"
463,149,"print, fabric and fibre"
464,150,dreams and longings
465,150,home and play
466,150,special occasions
467,151,"posters, wallpaper, fabrics with simple repeat or other design, packaging, wrapping paper"
468,152,describing the print
469,152,how he/she enjoyed making them
470,152,how the artist possibly made them
471,152,"line, shape, texture, pattern"
472,152,what he/she likes best about the print
473,154,beginning to organise the print marks purposefully
474,154,discovering how simple prints could be further developed (e.g. overprinting)
475,154,with oddments that have interesting textures or shapes
476,154,"with one or two paint colours to help focus on texture, shape, pattern"
477,155,experimenting with ways of repeating and combining examples of one or more prints
478,155,from cut or torn pieces of thin polystyrene
479,155,from his/her own marks made in the clay
480,155,from textured items pressed into a slab of clay
481,155,making a variety of relief prints
482,155,masking an area of an inked surface with pieces of paper cut or torn to own design
483,155,printing with mask-outs
484,155,using computer experiments in shape and colour to design a print
485,156,"as a donkey, try, through physical and vocal communication, to make known to your masters how you feel about being pushed up a rocky mountainside"
486,156,"as a peasant woman, try to sell your produce in a market-place full of robbers and tricksters"
487,156,"as a shepherd, try to get your scattered sheep into the pen without becoming too cross with them"
488,156,"as one of a group of starving refugees, try to communicate your anger at those who are preventing you from entering the wheatfield"
489,157,"as members of a picnicking group, make suggestions about how the group should go about finding out, without arousing suspicion, who owns the clothes and belongings that have been found"
490,157,decide from an old map which direction we should go in search of the treasure
491,157,discuss and decide whether we should take the road that leads high into the mountains or the one that leads down to the water
492,158,help set up an obstacle course in which the different elements represent the various hardships the shepherds might have encountered in going to Bethlehem
493,158,"in a drama about space travel, decide whether we should stop to research what Mars might be like in reality before moving on with the drama"
494,158,listen and contribute when the teacher asks for help in recalling and recording key moments in the journey of the Ark before the animals reach the new world
495,159,"as part of a drama on an encounter with a giant, show how you think the huge key should be lifted up to the lock so as to open the door"
496,159,"in a randomly selected group of three, show for the class the scene in which the donkey is helped up the rocky slope"
497,159,"in a randomly selected pair, show how you might convince your mother to let you go to the woods"
498,160,céard a tharlaíonn nuair a chasann an garda a labhraíonn Gaeilge ar na páistí agus iad tar éis an chathaoir a thógáil amach as an teach
499,160,decide with the group whether to give a man directions to the church and what he wants to do there
500,160,"in a drama about friendship and exclusion, see how the group behaves when somebody new joins them"
501,160,"in the same drama, decide whether to tell the garda that we gave him directions to the church"
502,161,focus on helping to solve the mathematical problems the gatekeeper sets
503,161,how can we help the peacock who has lost the ability to spread his tail?
504,161,"mar bhall den ghrúpa atá ag iarraidh an mhuc dhraíochta a fháil ón bhfeirm, ceistigh an bhean a bhfuil mioneolas aici ar obair na feirme"
505,161,the capital letters and small letters are arguing with each other but have to bury their differences when they hear there is a computer coming who wants to make them his/her slaves
506,162,"a scarf round the neck is taken as the royal robe, which passes from the king or queen to the pauper when they want to exchange places for the day"
507,162,set out different objects to represent aspects of the room in which the camogie or football team meets
508,162,use various objects to signal the different individual compartments in the rabbit warren
509,163,"because the shepherds and their wives have been warned that innkeepers are likely to exploit them, they treat this innkeeper warily"
510,163,"the animals, knowing that some of the wilder animals have eaten smaller animals, go to Noah to ask him to devise the ‘Rules of the Ark’"
511,163,the knowledge that the princess has been imprisoned in the castle and the children’s desire to get her out make them negotiate with the gatekeeper
512,164,"in an alternative working of the same story, play out the scene where Jenny meets the giant’s wife for the first time and the giant’s wife tells her about how hard the giant is to live with"
513,164,increase audibility and volume when talking to the man at the toll bridge who is hard of hearing
514,164,"play out the scene where a dealer convinces Jack that he should sell the cow he loves for a bag of beans, exploring what kind of person the dealer is and what kind of person Jack is"
515,164,take a role in a ‘presentation’ for people from China who want to see what life is like here in Ireland
516,165,"create circus acts for the circus owner who has lost his/her circus acts, and which must be good enough to fool the cross king or queen"
517,165,moving from a game with blindfolds into a drama about children who were struck blind by the wicked witch
518,165,"react as one of a group of snowmen or snowwomen playing, singing and dancing while people are asleep, and who is told by Jack Frost that the sun will soon be here"
519,166,examine the question of bullying through a reworking of ‘Jack and the Beanstalk’ or ‘Jenny and the Giant’s Wife’
520,166,use reflections on stories gathered from his/her grandparents to lead to a drama about buying a house
521,166,"without knowing sign language, think about how to communicate with a person who cannot hear or speak"
522,167,"in the context of a drama that uses a reworked Little Red Riding-Hood story, speculate whether there is any time when it is right to talk to strangers"
523,167,"make a picture-sequence, frieze or model to record or interpret what happened in the drama"
524,167,reveal whether he/she suspected that it was the man posing as the lollipop person who had robbed the church
525,168,"in role, decide how to teach the frustrated frog to calm down"
526,168,"out of role, speculate whether the drama might be more exciting if the ball goes into the river and is taken away by it"
527,168,"the teacher in role (as Noah) and the animals draw up a list of suggestions on how to calm the giraffe and save the Ark, after the giraffe has put his foot through the hull"
528,168,write a short account of what he/she thinks the animals should do if they want to avoid being caught by the hunter
529,169,discover how relationships develop in a scene in which the light has suddenly gone off in the haunted house
530,169,discover how tribal rivalries influence relationships when food is being distributed
531,169,discover what relationships develop between people when they are worried about whether their relatives will survive the storm at sea
532,170,"from a map supplied by the teacher, decide how best to get to the house of the friendship-maker"
533,170,"in an Irish-language play, decide what to do when a farmer has gone to the Gardaí after learning that he/she, as a member of the group, is trespassing on the farmer’s land, and abide by that decision and its consequences within the drama"
534,170,"in small-group work, keep the improvisation going without repetition in order to ensure invention and creativity"
535,170,"when, on an upturned boat, food rations are running out, decide as a member of the group whether to eat now and hope the group is rescued or to ration the food to make it last longer"
536,171,co-operate with other members of the group in making an art representation of the kind of world the crag-people live in
537,171,"in small-group work, exchange roles so that each member of the group has a chance to contribute in the making of each character"
538,171,research the kinds of domestic and farming implements people used a thousand years ago in order to experience in drama the kind of work they might do
539,172,"as part of a drama on the making of a dolmen, show half a minute of action in which the members of the tribe endure great hardship"
540,172,"in a drama about a crime, show, as groups of detectives, an enactment of how each group thinks it happened"
541,172,"in a drama about life on a tropical island, show how the relationship between the girls develops when they go swimming in the sea"
542,172,show the scene at home when the teacher’s letter arrives to say that Jenny has been misbehaving
543,173,follow the leader in hauling weapons along a narrow mountain pass
544,173,help the other children to teach the spacewoman how to treat the flowers
545,173,"learn and apply simple rules that give focus and meaning to dramatic activity, for example ‘do your bit,’ ‘believe it is happening to you,’ ‘listen to and accept the contributions of others’"
546,173,work out from the map the meaning of the riddle that will lead him/her to where the UFO has landed
547,174,bí in ann script ghearr Ghaeilge a láimhseáil agus dráma a dhéanamh di
548,174,it is the turn of the hieroglyphics expert to entertain campsite colleagues by enacting the story of hieroglyphics he/she has copied
549,174,"learn to look on a piece of script as an invitation to create dramatic action, discovering that interpreting six lines of script, for example, can lead into many different situations"
550,174,learn to transform script into one’s own thought processes
551,175,a greedy worker at the tomb of Tutankhamun tempts others who are busy making copies of hieroglyphics to steal what they can
552,175,"brief a third character, who is joining the drama, with an agenda that is not known to the two who are already involved"
553,175,"enact the scene when, in the market-place where Miolchu is buying Patrick, one of the hostages tries to escape"
554,175,"in a drama about differences between two groups of children, increase the tension by implanting the knowledge that any person in a particular group could be a spy for the other group"
555,176,become aware of how the need to move away increases as soon as the decision to betray a friend is made
556,176,"become aware of how the protagonists in an argument, gradually moving closer to each other, can increase the expectation that they may soon come to blows"
