id,unit_id,title_en_GB
54,18,"experiment with the marks, lines, shapes,textures, patterns and tones that can be made with different drawing instruments on a range of surfaces"
55,18,express his/her imaginative life and interpret imaginative themes using inventive pattern and detail
56,18,"make drawings from recalled experiences, emphasising pattern, detail, context and location"
57,19,explore and discover the possibilities of fabric and fibre as media for imaginative expression
58,19,invent a costume for a character from a story or use fabric as a stimulus for an exotic costume design
59,19,make small inventive pieces in fabric and fibre
60,19,"make soft toys, emphasising individuality and variety"
61,20,look at and talk about fabric crafts and artefacts and visit a craftsperson at work if possible
62,20,look at and talk about his/her work and the work of other children
63,20,"look at and talk about woven, embroidered, knitted and other fabrics, including interesting items of clothing from different times and cultures"
64,20,"look at, handle and talk about a variety of fabrics and fibres for experience of tactile, visual and spatial qualities"
65,21,"look at and talk about his/her work, the work of other children and the work of artists"
66,22,discover colour in the visual environment and become sensitive to colour differences and tonal variations through colour mixing
67,22,discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities
68,22,discover pattern and rhythm in natural and manufactured objects and use them purposefully in his/her work
69,22,explore colour with a variety of materials and media
70,22,explore the relationship between how things feel and how they look
71,22,express his/her imaginative life and interpret imaginative themes using colour expressively
72,22,"make paintings based on recalled feelings and experiences, exploring the spatial effects of colour and tone, using overlapping, and with some consideration of scale"
73,22,paint from observation
74,23,look at and talk about examples of design in everyday use
75,23,"look at and talk about his/her work, the work of other children and art prints or print design that emphasise the play of shape, texture or line"
76,23,"look at, handle and talk about natural and manufactured objects for experience of texture, shape, pattern"
77,24,experiment with a widening range of printmaking techniques
78,24,make prints for functional uses (as well as for their own sake)
79,24,use a computer art program to create original images that are not dependent on clip art
80,24,use a widening range of print-making techniques to make theme-based or non-representational prints
81,25,"experiment with and develop line, shape, texture and pattern in low relief"
82,25,explore and discover the possibilities of clay as a medium for imaginative expression
83,25,explore some of the essential characteristics of three-dimensional work
84,25,make an imaginative slab-built structure
85,25,make simple pottery and sculpture
86,25,work inventively and expressively with papier maché
87,26,"look at and talk about his/her work, the work of other children and the work of sculptors, including relief sculptures (prints or slides)"
88,26,"look at and talk about ritual masks, street theatre masks and figures, and functional and decorative pottery from different cultures and different times (slides or prints)"
89,26,"look at, handle and talk about natural and manufactured objects for experience of three-dimensional form"
90,27,look at and talk about his/her work and the work of other children
91,27,"look at and talk about impressive examples of buildings created in the past in different parts of the world and at contemporary architecture, sculpture, engineering and design (slides or prints)"
92,27,"look at, investigate and talk about spatial arrangements, balance and outline in collections or photographs of natural and manufactured structures"
93,28,explore and experiment with the properties and characteristics of materials in making structures
94,28,make drawings from observation to analyse form and structure
95,28,make imaginative structures
96,29,"look at and talk about his/her work, the work of other children and the work of artists"
97,30,discover how line could convey movement and rhythm
98,30,draw from observation
99,30,draw imaginative themes using inventive pattern and detail
100,30,"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces, demonstrating increasing sensitivity and control"
101,30,"make drawings based on themes reflecting broadening interests, experiences and feelings"
102,31,design and make a costume
103,31,explore and discover the possibilities of fabric and fibre as media for imaginative expression
104,31,make simple character toys
105,31,make small inventive pieces in fabric and fibre
106,32,look at and talk about his/her work and the work of other children
107,32,"look at and talk about woven, embroidered, knitted and other fabrics, including interesting items of clothing from different times and cultures, and explore the role of textiles in culture"
108,32,look at fabric crafts and artefacts and visit a craftsperson at work if possible
109,32,"look at, handle and talk about a variety of fabrics and fibres for experience of tactile, visual and spatial qualities"
110,33,"look at and talk about his/her work, the work of other children and the work of artists"
111,34,become sensitive to increasingly subtle colour differences and tonal variations in natural and manufactured objects
112,34,discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities
113,34,discover pattern and rhythm in natural and manufactured objects
114,34,"explore colour with a variety of colour drawing instruments, media and techniques"
115,34,explore the relationship between how things feel and how they look
116,34,express his/her imaginative life and interpret imaginative themes using colour expressively
117,34,make paintings based on recalled feelings and experiences and discover ways of achieving spatial effects
118,34,paint from observation
119,35,"look at and talk about his/her work, the work of other children and art prints or print design that demonstrate a variety of print-making techniques"
120,35,"look at, handle and talk about natural and manufactured objects for experience of texture, shape and pattern"
121,36,experiment with more complex printmaking techniques
122,36,make prints for functional uses (as well as for their own sake)
123,36,use a computer art program to create original images that are not dependent on clip art
124,36,use more complex print-making techniques to make theme-based or non-representational prints
125,37,explore and discover the possibilities of clay as a medium for imaginative expression
126,37,invent mixed-media pieces in both representational and non-representational modes
127,37,make a clay form and manipulate it with fingers to suggest a subject
128,38,"look at, handle and talk about his/her own work, the work of other children and simple pieces of clay pottery"
129,38,"look at, handle and talk about objects with free-flowing forms"
130,39,look at and talk about his/her work and the work of other children
131,39,"look at and talk about structures that are easily accessible and close at hand, at visually stimulating structures and at a range of common artefacts"
132,39,"look at, investigate and talk about spatial arrangements and balance in collections of objects and in photographs of natural and built structures"
133,40,explore and experiment with the properties and characteristics of materials in making structures
134,40,make imaginative structures
135,41,"look at and talk about his/her work, the work of other children and the work of artists"
136,42,discover and draw line and shape as seen in natural and manufactured objects and discover that lines can make shapes
137,42,experiment with the marks that can be made with different drawing instruments on a range of surfaces
138,42,explore the relationship between how things feel and how they look
139,42,"make drawings based on vividly recalled feelings, real and imaginative experiences and stories"
140,43,explore the possibilities of fabric and fibre as media for imaginative expression
141,43,invent a costume
142,43,make simple collages
143,44,look at and talk about his/her work and the work of other children
144,44,"look at, handle and talk about a variety of fabrics and fibres for experience of tactile, visual and structural qualities"
145,45,"look at and talk about his/her work, the work of other children and the work of artists"
146,46,discover colour in the visual environment to help develop sensitivity to colour
147,46,"discover colour, pattern and rhythm in colourful objects"
148,46,discover the relationship between how things feel and how they look
149,46,experiment with a variety of colour drawing instruments and media to develop colour awareness
150,46,"use colour to express vividly recalled feelings, experiences and imaginings"
151,47,look at and talk about examples of simple print design in everyday use
152,47,"look at and talk about his/her work, the work of other children and art prints composed of simple shapes and textures"
153,47,"look at, handle and talk about familiar objects for experience of shape, texture, pattern"
154,48,experiment with the effects that can be achieved with simple print-making
155,48,use a variety of print-making techniques
156,49,develop fictional relationships through interaction with the other characters in small-group or whole-class scenes as the drama text is being made
157,49,"develop, in role, the ability to co-operate and communicate with others in helping to shape the drama"
158,49,"develop, out of role, the ability to co-operate and communicate with others in helping to shape the drama"
159,49,re-enact for others in the group a scene that has been made in simultaneous small-group work
160,50,begin to see how tension adds to drama the suspense that ensures the interest of the participants
161,50,develop the ability to help maintain the focus in the dramatic action
162,50,experience how context is built and a drama reality created through the use of space and objects
163,50,experience how the fictional past and the desired fictional future influence the present dramatic action
164,50,use his/her emerging awareness of the differences in people in order to begin to develop an understanding of the relationship between role and character
165,50,use the ability to play at make-believe to enter fully into participation in drama
166,51,"experience, through drama, the relationship between story, theme and life experience"
167,51,share insights while experiencing the drama or insights that arise out of the drama
168,51,use reflection on a particular dramatic action to create possible alternative courses for the action
169,52,develop fictional relationships through interaction with the other characters in small-group or whole-class scenes as the drama text is being made
170,52,"develop, in role, the ability to co-operate and to communicate with others in helping to shape the drama"
171,52,"develop, out of role, the ability to co-operate and communicate with others in helping to shape the drama"
172,52,"enact spontaneously for others in the group a scene from the drama, or share with the rest of the class a scene that has already been made in simultaneous small-group work"
173,53,become aware of the rules that help maintain focus in the dramatic action
174,53,begin the process of using script as a pre-text
175,53,"begin, as a member of a group, to include in drama activity the elements of tension and suspense"
176,53,discover how the use of space and objects can help in building the context and in signifying dramatic themes
177,53,enter into the fictional dramatic context with the same spontaneity and freedom that he/she has earlier applied to make-believe play
178,53,explore how the fictional past and the desired fictional future influence the present dramatic action
179,53,understand the relationship between role and character and develop the ability to hold on to either role or character for as long as the dramatic activity requires
180,54,"learn, through drama, the relationship between story, theme and life experience"
181,54,use reflection on and evaluation of a particular dramatic action to create possible alternative courses for the action
182,54,use the sharing of insights arising out of dramatic action to develop the ability to draw conclusions and to hypothesise about life and people
183,55,develop fictional relationships through interaction with the other characters in small-group or whole-class scenes as the drama text is being made
184,55,"develop, in role, the ability to co-operate and communicate with others in helping to shape the drama"
185,55,"develop, out of role, the ability to co-operate and to communicate with others in helping to shape the drama"
186,55,"enact spontaneously for others in the group a scene from the drama, or share with the rest of the class a scene that has already been made in simultaneous small-group work"
187,56,become adept at implementing the ‘playing rules’ that maintain focus in dramatic action
188,56,become comfortable with script and understand the basic processes by which script becomes action
189,56,discover how the use of space and objects helps in building the context and in signifying the drama theme
190,56,"distinguish between various genres, such as comedy, tragedy, fantasy"
191,56,"enter appropriately and with facility, whether watched or unwatched, into the fictional dramatic context"
192,56,explore how the fictional past and the desired fictional future influence the present dramatic action
193,56,"extend playing in role and in character to include the ability to accept and maintain a brief that has been decided on by either the teacher, the group or himself/herself"
194,56,help to plan dramatic activity to include the particular tension and suspense appropriate to the theme being explored
195,57,"learn, through drama, the relationship between story, theme and life experience"
196,57,reflect on a particular dramatic action in order to create possible alternative courses for the action that will reflect more closely the life patterns and issues being examined
197,57,use the sharing of insights arising out of dramatic action to develop the ability to draw conclusions and to hypothesise about life and people
198,58,"develop the ability, out of role, to co-operate and communicate with others in helping to shape the drama"
199,58,"develop, in role, the ability to co-operate and communicate with others in helping to shape the drama"
200,59,"develop awareness of how he/she, as part of a group, helps to maintain focus in the dramatic action"
201,59,develop awareness of tension in the drama
202,59,develop the ability to play in role as an integral part of the action
203,59,develop the instinct for make-believe play into drama
204,59,experience how the fictional past and the desired fictional future influence the present dramatic action
205,59,experience how the use of space and objects can help to create the reality of the make-believe world
206,60,develop the ability to reflect on the action as it progresses
207,60,"experience the relationship between story, theme and life experience"
208,60,share insights gained while experiencing the drama
209,61,invent and perform short musical pieces with increasing ease and control of musical elements
210,61,"recall, answer and invent simple melodic and rhythmic patterns, using voices, body percussion and instruments; singing conversations:"
211,61,"recall, answer and invent simple melodic and rhythmic patterns, using voices, body percussion and instruments; vocal improvisations:"
212,61,"select sounds from a variety of sources to illustrate a character or a sequence of events, individually and in groups"
213,62,invent graphic symbols or use standard notation to represent selected sounds
214,62,record compositions on electronic media
215,62,talk about his/her work and the work of other children
216,63,discover ways of making sounds using body percussion
217,63,explore how the sounds of different instruments can suggest various sounds and sound pictures
218,63,explore the natural speech rhythm of familiar words
219,63,explore ways of making sounds using manufactured and home-made instruments
220,63,identify pitch differences in different voices
221,63,"listen to, identify and describe sounds in the environment with increasing awareness"
222,63,recognise and classify sounds using differing criteria
223,63,recognise and demonstrate pitch differences
224,64,"differentiate between sounds at different dynamic levels (loud and soft, getting louder and getting softer)"
225,64,differentiate between steady beat and music without a steady beat
226,64,"identify and show the tempo of the music as fast or slow, getting faster or getting slower"
227,64,identify obviously different instruments
228,64,"listen to a range of short, familiar and unfamiliar pieces of music or excerpts from classical music:"
229,64,"listen to a range of short, familiar and unfamiliar pieces of music or excerpts from Irish music:"
230,64,"listen to a range of short, familiar and unfamiliar pieces of music or excerpts from musicals:"
231,64,"listen to a range of short, familiar and unfamiliar pieces of music or excerpts from popular music:"
232,64,perceive the difference between long and short sounds
233,64,respond imaginatively to pieces of music through movement
234,64,"show the steady beat in listening to a variety of live or recorded music, accompanying songs or chants"
235,64,"talk about pieces of music, giving preferences, and illustrate responses in a variety of ways"
236,65,identify and perform familiar rhythm patterns from memory and from notation
237,65,recognise and sing familiar tunes and singing games within a range of two or three notes*
238,65,"recognise and sing simple tunes, from simplified notation, combining rhythm and pitch"
239,65,recognise the shape (contour) of a simple melody
240,66,identify and perform simple two-note or three-note tunes by ear or from simple notation
241,66,play some percussion instruments with confidence
242,66,use percussion instruments to show the beat or rhythm in accompanying songs or rhythmic chants
243,67,notice obvious differences created between sections of songs in various forms
244,67,"perceive the shape of melodies as moving upwards, downwards or staying the same"
245,67,recognise and imitate short melodies in echoes
246,67,recognise and sing with increasing vocal control and confidence a growing range of songs and melodies
247,67,"select the dynamics (loud, soft) most suitable to a song"
248,67,"show the steady beat (pulse) when performing familiar songs, singing games or rhythmic chants"
249,67,understand the difference between beat and rhythm
250,68,invent and perform simple musical pieces that show a developing awareness of musical elements
251,68,"recall, answer and invent simple melodic and rhythmic patterns, using voice, body percussion and instruments"
252,68,"select different kinds of sounds (voice, body percussion, untuned and tuned percussion, simple melodic instruments, electronic instruments) to portray a character, a sequence of events or an atmosphere in sound stories"
253,69,describe and discuss his/her work and the work of other children
254,69,devise and use graphic symbols and/or use standard notation to record simple musical patterns and inventions
255,69,record compositions on electronic media
256,70,classify and describe sounds within a narrow range
257,70,discover the different kinds of sounds that the singing voice and the speaking voice can make
258,70,"discover ways of making sounds using body percussion, in pairs and small groups"
259,70,explore how the tone colours of suitable instruments can suggest various sounds and sound pictures
260,70,explore ways of making sounds using manufactured and home-made instruments
261,70,imitate patterns of long or short sounds vocally
262,70,listen to and describe a widening variety of sound from an increasing range of sources
263,70,recognise and demonstrate pitch differences
264,71,"describe initial reactions to, or feelings about, his/her compositions and the compositions of others (recordings or live performances), giving preferences"
265,71,differentiate between steady beat and music without a strong beat in music
266,71,discover two-beat time (like a march) and three-beat time (like a waltz) byusing gestures to accompany music
267,71,distinguish between sounds of different duration (long or short) while listening to music
268,71,experience six-eight time (like a jig)
269,71,"identify and describe the tempo of the music as fast or slow, or getting faster or getting slower"
270,71,identify some families of instruments
271,71,"listen to and describe music in various styles and genres, including familiar excerpts, recognising its function and historical context where appropriate"
272,71,"recognise strong and weak beats, illustrating them through gestures"
273,71,respond appropriately to obviously different sections in a piece
274,71,respond imaginatively to longer pieces of music in a variety of ways
275,71,show the steady beat in listening to live or recorded music accompanying songs or chants
276,72,"discover how pentatonic tunes (based on five notes: d, r, m, s, l) can be read, sung and played in G doh, C doh, or F doh"
277,72,identify and define the rhythm patterns of well-known songs and chants
278,72,"recognise and sing familiar, simple tunes in a variety of ways"
279,72,recognise and use some standard symbols to notate metre (time) and rhythm
280,72,recognise the shape (contour) of melodies on a graphic score or in standard notation
281,72,use standard symbols to identify and sing a limited range of notes and melodic patterns
282,72,use standard symbols to notate simple rhythm and pitch
283,73,discover different ways of playing percussion and melodic instruments
284,73,"identify and perform simple, familiar tunes from memory or from notation"
285,73,use percussion instruments to show the beat or rhythm in accompanying songs or rhythmic chants
286,74,notice differences created between the sections of songs in various forms
287,74,"perform a rhythmic or melodic ostinato (a pattern that is repeated over and over) or a drone (long, held notes) to accompany a song"
288,74,"perform familiar songs with increasing awareness of dynamics, phrasing (appropriate breaks in the music) and expression"
289,74,perform familiar songs with increasing understanding and control of pitch (accurate intervals) and extended vocal range
290,74,"perform, in groups, simple rounds in two or more parts"
291,74,show greater control of pulse (steady beat) and tempo while singing well known tunes
292,74,"sing from memory a widening repertoire of songs with increasing vocal control, confidence and expression"
293,74,understand the difference between beat and rhythm
294,75,invent and perform pieces that show an increasing awareness and control of musical elements
295,75,"recall, answer and invent melodic and rhythmic patterns, using voices, body percussion and instruments"
296,75,"select from a wide variety of sound sources (voice, body percussion, untuned and tuned percussion, melodic instruments and technology) for a range of musical purposes"
297,76,devise and use graphic symbols and/or use standard notation to record different lines of musical patterns and inventions
298,76,record compositions on electronic media
299,76,reflect upon and evaluate his/her work and the work of other children discussing and explaining:
300,77,distinguish and describe vocal ranges and tone colours heard in a piece of music
301,77,explore a range of sounds that the singing voice and the speaking voice can make
302,77,explore how the tone colours of suitable instruments can suggest various sounds and sound pictures
303,77,explore ways of making sounds using manufactured and home-made instruments
304,77,identify a variety of ways of making sounds using body percussion in pairs and in small and large groups
305,77,listen to sounds in the environment with an increased understanding of how sounds are produced and organised
306,78,determine simple form and represent through gestures
307,78,distinguish the main instrument heard in a piece of music
308,78,examine the effects produced by different instruments
309,78,experience dotted rhythms or syncopation (emphasis on normally weak beats) in familiar tunes through gestures and movement
310,78,identify families of instruments
311,78,identify six-eight time in moving to music
312,78,identify two-beat or three-beat time in moving to music
313,78,"listen to and describe a broad range of musical styles and traditions, including familiar excerpts, recognising where appropriate its function and historical context"
314,78,"listen to and describe a broad range of musical styles and traditions, including familiar excerpts, recognising where appropriate its function and historical context; excerpts from classical music:"
315,78,"listen to and describe a broad range of musical styles and traditions, including familiar excerpts, recognising where appropriate its function and historical context; Irish music, traditional and contemporary:"
316,78,"listen to his/her own compositions and the compositions of others (recordings or live performances) and evaluate in terms of personal response, choice of instruments and expressive qualities"
317,78,recognise and understand how tempo and dynamic choices contribute to an expressive musical performance
318,78,"recognise strong and weak-beat patterns, illustrating them through gestures"
319,78,respond imaginatively to music in a variety of ways
320,79,"read, sing and play simple tunes from sight with C doh, G doh or F doh"
321,79,recognise and sing familiar tunes in an increasing variety of ways
322,79,recognise longer and more complex rhythm patterns of familiar songs and chants
323,79,"recognise that melodies can be read, sung or played in different keys"
324,79,"recognise the shape (contour) of a melody and movement by steps or by leaps, from a graphic score or from notation"
325,79,"recognise, name and use some standard symbols to notate metre (time) and rhythm"
326,79,understand the function of major key signatures as indicating the position of doh
327,79,"use standard symbols to read, sing and play simple melodies from sight"
328,79,use standard symbols with increasing fluency and accuracy to notate simple rhythm and pitch
329,80,identify and perform familiar tunes from memory or from notation independently instruments may include:
330,80,perform a range of playing techniques on a wide selection of percussion and melodic instruments
331,80,"use percussion instruments with increasing confidence and skill to accompany tunes, songs and chants"
332,81,"distinguish individual parts in a round by singing, listening, moving, or by observing notational cues"
333,81,explore structural elements within familiar songs
334,81,identify unison parts (playing or singing the same line) and harmony parts (two or more independent parts together) visually (from notation) and aurally
335,81,notice the differences created between the sections of songs in different forms
336,81,"perform a rhythmic or melodic ostinato (a pattern that is repeated over and over) or drone (long, held notes) in accompanying a song"
337,81,"perform familiar songs with increased control of dynamics, phrasing and expression"
338,81,"perform, as part of a group, arrangements of songs that include simple countermelodies or harmony parts"
339,81,"perform, as part of a group, two songs sung individually and as partner songs"
340,81,performing a round in several different textures
341,81,"recognise and sing from memory a more demanding repertoire of songs with an awareness of the music's social, historical and cultural contexts"
342,81,relate words and mood of a song to style of performance
343,81,"sing independently, with increasing awareness and control of pulse, tempo, pitch, diction and posture"
344,82,improvise new answers to given melodic patterns; new verses for familiar songs and rhymes:
345,82,improvise new answers to given melodic patterns; singing conversations:
346,82,"invent and perform short, simple musical pieces with some control of musical elements"
347,82,"select sounds from a variety of sources to create simple sound ideas, individually and in groups"
348,83,invent graphic symbols for single sounds and sound effects
349,83,record compositions on electronic media
350,83,talk about his/her work and the work of other children
351,84,describe sounds and classify them into sound families
352,84,discover ways of making sounds using body percussion
353,84,experiment with a variety of techniques using manufactured and home-made instruments
354,84,explore ways of making sounds using manufactured and home-made instruments
355,84,"listen to, identify and imitate familiar sounds in the immediate environment from varying sources"
356,84,recognise different voices
357,84,recognise the difference between the speaking voice and the singing voice and use these voices in different ways
358,84,use sound words and word phrases to describe and imitate selected sounds
359,85,listen and respond to patterns of long sounds and short sounds
360,85,listen to a range of short pieces of music or excerpts from classical music:
361,85,listen to a range of short pieces of music or excerpts from Irish music:
362,85,listen to a range of short pieces of music or excerpts from popular music:
363,85,listen to a range of short pieces of music or excerpts; recordings of nursery rhymes and children's songs by various artists:
364,85,recognise and show the difference between fast and slow tempos
365,85,recognise and show the difference between high and low sounds
366,85,recognise and show the difference between loud and soft sounds
367,85,respond imaginatively to short pieces of music through movement
368,85,show the steady beat in listening to live or recorded music
369,85,"talk about pieces of music, giving preferences, and illustrate responses in a variety of ways"
370,86,match selected sounds with their pictured source
371,86,recognise and perform simple rhythm patterns from pictorial symbols
372,87,play simple percussion instruments
373,87,"use simple home-made and manufactured instruments to accompany songs, nursery rhymes or rhythmic chants"
374,88,perform songs and rhymes with a sense of dynamic (loud/soft) control where appropriate
375,88,"recognise and imitate short melodies in echoes, developing a sense of pitch"
376,88,recognise and sing familiar songs and melodies from other sources
377,88,show the steady beat in listening to or accompanying songs or rhythmic chants
378,88,"show, while singing, whether sounds move from high to low or from low to high"
379,89,éisteacht gan bhrú le hábhar tarraingteach
380,89,éisteacht le cuairteoirí chuig an rang
381,89,éisteacht le guthanna eile chomh maith leis an múinteoir agus iad a thuiscint
382,89,éisteacht leis an nGaeilge á húsáid go teagmhasach neamhfhoirmiúil mar ghnáththeanga chumarsáide an ranga agus na scoile
383,89,rogha a dhéanamh ó am go ham faoin ábhar éisteachta
384,90,canúint an cheantair agus guthanna difriúla a aithint
385,90,cluichí éisteachta a imirt
386,90,éisteacht go muiníneach agus an chaint a thuiscint le cabhair ó leideanna éagsúla agus ón gcomhthéacs
387,90,éisteacht le foghraíocht cheart i rainn agus in amhráin
388,90,éisteacht le treoracha ón múinteoir chun na mothúcháin a léiriú le mím nó le pictiúr
389,90,éisteacht leis an nGaeilge á labhairt i rith an lae go léir agus éisteacht le frásaí faoi leith a úsáidtear go rialta
390,90,éisteacht leis an nGaeilge i gcomhthéacsanna cultúrtha
391,90,páirt a ghlacadh i ngníomhaíochtaí éisteachta a léiríonn tuiscint
392,90,taithí a fháil ar éisteacht aireach trí ghníomhaíochtaí simplí a dhéanamh
393,90,"taitneamh a bhaint as rithim agus as fuaimeanna rann, dánta agus amhrán"
394,91,an Ghaeilge a labhairt go teagmhasach neamhfhoirmiúil sa seomra ranga agus sa scoil chun gnáthriachtanais chumarsáide a chomhlíonadh
395,91,an Ghaeilge a labhairt i gcomhthéacsanna cultúrtha
396,91,rogha a dhéanamh ó am go ham faoin ábhar cainte
397,92,abairtí a chumadh a bhfuil foclóir éagsúil agus struchtúir níos casta iontu
398,92,amhráin aeracha le gníomhartha a chanadh
399,92,caint faoi mhothúcháin agus faoi mhianta
400,92,"caint faoi rudaí a tharla, a tharlaíonn, atá ar siúl agus a tharlóidh"
401,92,ceisteanna a chur agus a fhreagairt
402,92,cluichí teanga a imirt ina mbeirteanna
403,92,daoine agus rudaí a chomhaireamh
404,92,nuacht shimplí phearsanta a thabhairt
405,92,páirt a ghlacadh i gcleachtaí foghraíochta agus litrithe i gcomhthéacs
406,92,páirt a ghlacadh i léiriú scéalta aitheanta
407,92,páirt a ghlacadh i rólghlacadh agus seiftiú i suímh éagsúla
408,92,páirt a ghlacadh i sceitsí agus i ndrámaí
409,92,pictiúir a úsáid chun brí na réamhfhocal agus na bhforainmneacha réamhfhoclacha a chur in iúl
410,92,rainn agus dánta beaga simplí a rá
411,92,sainfhoclóir na dtéamaí a leathnú agus a úsáid le cabhair áiseanna éagsúla
412,92,"scéalta gearra simplí a aithris, a athinsint ina f(h)ocail féin, ceisteanna fúthu a chur agus a fhreagairt, agus codanna díobh a léiriú i rólghlacadh"
413,92,súgradh le focail
414,92,suirbhéanna a dhéanamh agus tuairiscí a thabhairt
415,92,treoracha agus orduithe a thabhairt ar bhealaí éagsúla
416,92,úsáid a bhaint as leideanna éagsúla chun cabhrú le cumarsáid éifeachtach a dhéanamh
417,93,"a thuilleadh taithí a fháil ar an bhfocal scríofa sa timpeallacht, go háirithe sa seomra ranga, agus é a léamh go tuisceanach"
418,93,foghlaim conas teacht ar leabhair sa leabharlann ranga nó scoile
419,93,sracfhéachaint go rialta ar réimse leathan d’ábhar léitheoireachta
420,93,taitneamh a shamhlú le léitheoireacht trí éisteacht le scéalta agus dánta tarraingteacha á léamh os ard ag an múinteoir
421,93,tréimhsí taoiléitheoireachta a chaitheamh i gcomhair pléisiúir
422,94,a bhfuil á léamh aige/aici a thuiscint
423,94,a thuiscint gur gníomhaíocht í an léitheoireacht ar féidir í a roinnt le daoine eile
424,94,an ceangal atá idir fuaimeanna na Gaeilge agus na litreacha scríofa a aithint
425,94,an téarmaíocht ar leith a bhaineann leis an léitheoireacht agus le leabhair a chloisteáil agus a thuiscint
426,94,"focail a aithint nó a léamh i dtéacs trí leideanna ó phictiúir, ón gcomhthéacs agus ón gcomhréir"
427,94,focail a aithint trí dhul ar ais chuig fréamhacha focal agus tógáil ar na fréamhacha sin
428,94,focail a aithint trína mbriseadh ina siollaí
429,94,foghlaim faoin séimhiú agus faoin urú trí shamplaí i gcomhthéacs
430,94,stór níos leithne de ghnáthfhocail inaitheanta a chur le chéile óna t(h)aithí phearsanta agus ó bheith ag léamh leabhar
431,94,úsáid a bhaint as comharthaí poncaíochta mar áiseanna tuisceana
432,95,ábhair spéise a fhiosrú agus a fhorbairt
433,95,ábhar simplí samhlaíoch léitheoireachta a léamh
434,95,botúin léitheoireachta a cheartú go neamhspleách nuair is léir nach bhfuil ciall le baint as an rud atá léite aige/aici
435,95,cineálacha éagsúla téacs a léamh go tuisceanach
436,95,cluichí taitneamhacha teanga a imirt a éilíonn léitheoireacht fheidhmiúil
437,95,éisteacht le scéalta agus rainn á léamh ag an múinteoir
438,95,freagairt do dhánta agus do phearsana agus d’eachtraí i scéalta
439,95,léamh i gcomhpháirt le duine eile
440,95,léamh i gcomhthéacsanna cultúrtha
