Subject,Class,Strand,Strand Unit,Content Objectives,Further Information
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,experiment with the marks that can be made with different drawing instruments on a range of surfaces,"wriggly, smudgy, gritty, very light, very dark crayons, soft pencils, chalks, textured papers "
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,experiment with the marks that can be made with different drawing instruments on a range of surfaces,exploring the mark-making possibilities ofcomputer drawing tools
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,"make drawings based on vividly recalled feelings, real and imaginative experiences and stories",home and play 
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,"make drawings based on vividly recalled feelings, real and imaginative experiences and stories",dreams and longings 
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,"make drawings based on vividly recalled feelings, real and imaginative experiences and stories",special occasions
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,discover and draw line and shape as seen in natural and manufactured objects and discover that lines can make shapes,"line in stones, leaves, hanks of yarn "
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,discover and draw line and shape as seen in natural and manufactured objects and discover that lines can make shapes,"curvy, straight-edged, big, small, simple, complicated shapes"
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,explore the relationship between how things feel and how they look,texture in natural and manufactured objects 
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Making Drawings ,explore the relationship between how things feel and how they look,interpreting some of these textures in markmaking and rubbings
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,"experiment with the marks, lines, shapes,textures, patterns and tones that can be made with different drawing instruments on a range of surfaces","looking closely at specially chosen objects and discovering qualities of line, shape, texture, light and dark "
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,"experiment with the marks, lines, shapes,textures, patterns and tones that can be made with different drawing instruments on a range of surfaces","concentrating, as appropriate, on outline drawing, silhouette, shape, tone, texture, pattern and rhythm "
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,"experiment with the marks, lines, shapes,textures, patterns and tones that can be made with different drawing instruments on a range of surfaces",using a computer art program to create and modify images and to organise a composition
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,"make drawings from recalled experiences, emphasising pattern, detail, context and location",being in a familiar place 
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,"make drawings from recalled experiences, emphasising pattern, detail, context and location",pastimes and games
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,express his/her imaginative life and interpret imaginative themes using inventive pattern and detail,"stories, poems, songs, imaginary people, places, creatures and objects"
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,draw from observation,still life arrangements 
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,draw from observation,still life arrangements adding imagined backgrounds 
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,draw from observation,aspects of the environment viewed from different angles 
Visual Arts ,3rd Class & 4th Class,Drawing,Making Drawings ,draw from observation,the human figure (e.g. a classmate posing in different positions)
Visual Arts ,5th Class & 6th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",describing what is happening in the drawing 
Visual Arts ,5th Class & 6th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",the choice of materials and tools and the effects that were intended 
Visual Arts ,5th Class & 6th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists","how movement, rhythm and form are suggested "
Visual Arts ,5th Class & 6th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",problems encountered and solutions found in interpreting the human figure 
Visual Arts ,5th Class & 6th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",the use of overlapping and/or scale to suggest space in depth on a page
Visual Arts ,5th Class & 6th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",the most satisfying aspect of the drawing 
Visual Arts ,5th Class & 6th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",other interpretations of the theme or how he/she would approach it 
Visual Arts ,5th Class & 6th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what he/she feels about the interpretation
Visual Arts ,1st Class & 2nd Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",describing what is happening in the drawing 
Visual Arts ,1st Class & 2nd Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists","lines, shapes, textures, patterns, tones created and arranged to compose the drawing "
Visual Arts ,1st Class & 2nd Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how materials and tools were used and effects created 
Visual Arts ,1st Class & 2nd Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what was intended 
Visual Arts ,1st Class & 2nd Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what he/she likes best about the drawing
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",describing what is happening in the drawing 
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",the different kinds of marks made 
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how he/she enjoyed making the drawing 
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how the artist might have worked 
Visual Arts ,Junior Infants & Senior Infants ,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",his/her favourite part
Visual Arts ,3rd Class & 4th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",describing what is happening in the drawing 
Visual Arts ,3rd Class & 4th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists","the qualities of line, shape, texture, pattern and rhythm and tone created "
Visual Arts ,3rd Class & 4th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how space in depth is suggested and background detail 
Visual Arts ,3rd Class & 4th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how action is suggested 
Visual Arts ,3rd Class & 4th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what was intended 
Visual Arts ,3rd Class & 4th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",problems encountered and solved 
Visual Arts ,3rd Class & 4th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",the work of other artists who have interpreted the theme in a similar or dissimilar way 
Visual Arts ,3rd Class & 4th Class,Drawing,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what he/she feels about the drawing
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,"explore colour with a variety of colour drawing instruments, media and techniques","paint, crayons, oil and chalk pastels, chalks, inks, coloured pencils, felt-tipped and fibretipped pens"
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,"explore colour with a variety of colour drawing instruments, media and techniques","print, appliqué, collage, tonal exercises in small-scale mosaic"
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,make paintings based on recalled feelings and experiences and discover ways of achieving spatial effects,interpreting themes chosen for their colour possibilities that reflect broadening experiences and interests 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,make paintings based on recalled feelings and experiences and discover ways of achieving spatial effects,"experimenting with colour and tone, with warm and cool colours, with overlapping, with basic aerial and linear perspective"
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,express his/her imaginative life and interpret imaginative themes using colour expressively,"stories and poems, including dramatic, atmospheric adventure stories "
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,express his/her imaginative life and interpret imaginative themes using colour expressively,classmates acting as models to capture the action
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,paint from observation,setting up and painting colour arrangements of his/her own choice 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,paint from observation,"aspects of the environment when viewed from different angles, using a view finder to help position objects or define space "
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,paint from observation,using colour and tone to create spatial effects 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,paint from observation,the human figure or groups of figures in a particular setting 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,paint from observation,"playing in a band, fashion modelling "
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,paint from observation,a portrait of a classmate in tones of one colour
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,become sensitive to increasingly subtle colour differences and tonal variations in natural and manufactured objects,looking at and trying to reproduce the colour combinations of objects of visual interest 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,become sensitive to increasingly subtle colour differences and tonal variations in natural and manufactured objects,using colour magazine cut-outs as an exercise in colour mixing
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,mixing and juxtaposing colours to see how they react against each other
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,discover pattern and rhythm in natural and manufactured objects,"using repetition and variation of complementary and harmonious colours and varieties of line, shape and texture"
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,explore the relationship between how things feel and how they look,discovering texture in natural and manufactured objects 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Painting,explore the relationship between how things feel and how they look,interpreting textures in colour and tone and in mixed media
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,explore colour with a variety of materials and media,"paint, crayons, chalks, coloured pencils, felttipped or fibre-tipped pens "
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,explore colour with a variety of materials and media,"print, collage, fabric and fibre "
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,explore colour with a variety of materials and media,using a computer art program to experiment with colour and to create images
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,use colour expressively to interpret themes based on his/her personal or imaginative life,"particular moments from stories, poems, songs, music "
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,use colour expressively to interpret themes based on his/her personal or imaginative life,what might happen next in a story
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,paint objects chosen for their colour possibilities,flowers and other objects from the nature table 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,paint objects chosen for their colour possibilities,toys with imagined background detail
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,"discover colour in the visual environment and become sensitive to tonal variations between light and dark, and to variations in pure colour (hue)",discover colour and tone through themes chosen for their colour possibilities (e.g. a sunny or stormy sky)
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,features that blend with their environment and those that stand out 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,colour-and-shape games based on camouflage
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,"discover colour, pattern and rhythm in natural and manufactured objects and interpret them in his/her work",using repeated complementary colours to add variety to his/her work
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,explore the relationship between how things feel and how they look,texture in natural and manufactured objects 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,explore the relationship between how things feel and how they look,"rough, smooth, bumpy, prickly, fluffy "
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,explore the relationship between how things feel and how they look,interpreting a variety of these in colour and tone 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Painting,explore the relationship between how things feel and how they look,"creating creamy, crumbly textures"
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,experiment with a variety of colour drawing instruments and media to develop colour awareness,"paint, coloured pencils and crayons "
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,experiment with a variety of colour drawing instruments and media to develop colour awareness,"print, fabric and fibre "
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,experiment with a variety of colour drawing instruments and media to develop colour awareness,experimenting with colour-mixing 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,experiment with a variety of colour drawing instruments and media to develop colour awareness,exploring the colour possibilities of computer painting tools
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,"use colour to express vividly recalled feelings, experiences and imaginings ",home and play 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,"use colour to express vividly recalled feelings, experiences and imaginings ",dreams and longings 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,"use colour to express vividly recalled feelings, experiences and imaginings ",special occasions 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,discover colour in the visual environment to help develop sensitivity to colour,beginning to distinguish between lighter and darker colours 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,discover colour in the visual environment to help develop sensitivity to colour,making paintings with a single colour and black and white
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,"discover colour, pattern and rhythm in colourful objects ","stones, flowers, colour magazine cut-outs, fabric scraps "
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,"discover colour, pattern and rhythm in colourful objects ",experimenting in matching their colours in an elementary way
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,discover the relationship between how things feel and how they look,texture in natural and manufactured objects 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Painting,discover the relationship between how things feel and how they look,"texture created using paint, brushes and found objects in a variety of ways"
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,explore colour with a variety of materials and media,"paint, crayons, oil or chalk pastels, coloured pencils, felt-tipped pens and fibre-tipped pens"
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,explore colour with a variety of materials and media,"print, small-scale collage "
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,explore colour with a variety of materials and media,using a computer art program to experiment with the effects of warm and cool colours
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,"make paintings based on recalled feelings and experiences, exploring the spatial effects of colour and tone, using overlapping, and with some consideration of scale",recent and vividly recalled events from own life events he/she identifies with everyday familiar locations
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,express his/her imaginative life and interpret imaginative themes using colour expressively,"stories, poems, songs, music "
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,express his/her imaginative life and interpret imaginative themes using colour expressively,what might happen next in an adventure story 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,express his/her imaginative life and interpret imaginative themes using colour expressively,making large-scale group paintings of characters or story features
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,paint from observation,looking closely for subtle colour combinations in natural and manufactured objects
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,paint from observation,"making large-scale paintings that emphasise colour, tone, texture, shape, rhythm"
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,paint from observation,the human figure showing action 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,paint from observation,portraits of classmates posing for different activities
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,discover colour in the visual environment and become sensitive to colour differences and tonal variations through colour mixing,mixing and reproducing as accurately as possible the colours of objects of visual interest 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,discover colour in the visual environment and become sensitive to colour differences and tonal variations through colour mixing,exploring the spatial effects of colour and tone through themes chosen for their colour possibilities 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,discover colour in the visual environment and become sensitive to colour differences and tonal variations through colour mixing,"using colour and tone to create a background, middle ground and foreground in simple still lifes, landscapes and cityscapes"
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,working out a colour scheme for a three dimensional model he/she may have made 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,playing colour-mixing games
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,discover pattern and rhythm in natural and manufactured objects and use them purposefully in his/her work,using repetition and variation of contrasting colours and varieties of line types and textures to add variety and unity to a piece of work
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,explore the relationship between how things feel and how they look,discovering texture in natural and manufactured objects 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Painting,explore the relationship between how things feel and how they look,interpreting a variety of textures in colour and tone and with varied brush strokes
Visual Arts ,5th Class & 6th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",describing what is happening in the painting 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists","complementary or harmonious colours and tones, and subtle colour differences"
Visual Arts ,5th Class & 6th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists","how rhythm, movement, atmosphere, variety, space-in-depth or form is suggested "
Visual Arts ,5th Class & 6th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what he/she or the artist was trying to express 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how other artists have interpreted the theme in similar or dissimilar ways 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how he/she feels about the painting 
Visual Arts ,5th Class & 6th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",using the internet or a CD-ROM to access the work of an artist and to answer questions as above
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",describing what is happening in the painting 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",the colours and tones chosen 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists","the lines, shapes, textures and pattern created "
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how they are arranged in the painting 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how colour was used and effects created 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what he/she or the artist was trying to express 
Visual Arts ,1st Class & 2nd Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what he/she likes best about the painting
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists ",describing what is happening in the painting 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists ","the colours used to create lines, shapes and light and dark areas "
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists ",how he/she enjoyed making them 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists ",how the artist might have used colour 
Visual Arts ,Junior Infants & Senior Infants ,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists ",his/her favourite part
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",describing what is happening in the painting 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",the colours and tones chosen 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists","how the shapes, textures, pattern and rhythm and contrasts combine in the composition "
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",how materials and tools were used to create different effects and whether they might have been used differently 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what he/she or the artist was trying to express 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",the work of other artists who have interpreted the theme in a similar or dissimilar way 
Visual Arts ,3rd Class & 4th Class,Paint and colour ,Looking and Responding ,"look at and talk about his/her work, the work of other children and the work of artists",what he/she feels about the painting
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,experiment with more complex printmaking techniques,discovering how simple prints could be further developed 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,experiment with more complex printmaking techniques,overprinting with contrasting shapes or colours 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,experiment with more complex printmaking techniques,overlapping or placing shapes side by side 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,experiment with more complex printmaking techniques,masking out areas and taking a further print 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,experiment with more complex printmaking techniques,using an expanding colour range to create more complex images 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,experiment with more complex printmaking techniques,"experimenting with a related technique to make photograms that concentrate on expressive shape, negative shape, outline"
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,making a variety of relief prints 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,"composing relief print blocks with line, shape, texture, pattern "
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,re-interpreting his/her observational drawings and sketches in relief prints 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,"making monoprints, emphasising line, shape, texture "
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,combining with other print-making techniques 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,making pictorial rubbings 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,interpreting some of his/her drawings in terms of flat shape or silhouette together with some interesting textures 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,making silk-screen prints 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use more complex print-making techniques to make theme-based or non-representational prints,re-interpreting some of his/her drawings as flat shape
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,make prints for functional uses (as well as for their own sake),experimenting with fabric-printing techniques 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,make prints for functional uses (as well as for their own sake),making posters 
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,make prints for functional uses (as well as for their own sake),designing and printing cards and logos
Visual Arts ,5th Class & 6th Class,Print,Making Prints ,use a computer art program to create original images that are not dependent on clip art,
Visual Arts ,1st Class & 2nd Class,Print,Making Prints ,experiment with the effects that can be achieved with simple print-making techniques,with oddments that have interesting textures and/or shapes 
Visual Arts ,1st Class & 2nd Class,Print,Making Prints ,experiment with the effects that can be achieved with simple print-making techniques,"making rubbings from tree bark, fabrics "
Visual Arts ,1st Class & 2nd Class,Print,Making Prints ,experiment with the effects that can be achieved with simple print-making techniques,"using a limited colour range to focus on texture, shape, negative shape, pattern"
Visual Arts ,1st Class & 2nd Class,Print,Making Prints ,experiment with the effects that can be achieved with simple print-making techniques,discovering how simple prints could be further developed by overprinting with contrasting colours and with the same or contrasting shapes
Visual Arts ,1st Class & 2nd Class,Print,Making Prints ,use a variety of print-making techniques to make theme-based or non-representational prints,making a variety of relief prints 
Visual Arts ,1st Class & 2nd Class,Print,Making Prints ,use a variety of print-making techniques to make theme-based or non-representational prints,composing a relief print block using one or more colours 
