english,irish
"look at, handle and talk about a variety of fabrics and fibres for experience of tactile, visual and spatial qualities","raon d'fhabraicí agus de shnáithíní éagsúla a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar cháilíochtaí tadhaill, spásúlachta agus amhairc"
look at fabric crafts and artefacts and visit a craftsperson at work if possible,"ceird agus píosaí fabraice ón gceardaí a bhreathnú agus a phlé agus, más féidir, cuairt a thabhairt ar cheardaí i mbun oibre"
"look at and talk about woven, embroidered, knitted and other fabrics, including interesting items of clothing from different times and cultures, and explore the role of textiles in culture","fabraicí fite, cniotáilte, cróiseáilte agus fabraicí eile chomh maith le baill éadaigh spéisiúla a bhaineann le tréimhsí agus le cultúir éagsúla a bhreathnú agus a phlé; tábhacht fabraice i gcultúr a iniúchadh"
look at and talk about his/her work and the work of other children,a s(h)aothar féin agus saothar páistí eile a bhreathnú agus a phlé
make small inventive pieces in fabric and fibre,píosaí beaga airgtheacha a dhéanamh i bhfabraic agus i snáithín
make simple character toys,bréagáin shimplí de phearsana a dhéanamh
explore and discover the possibilities of fabric and fibre as media for imaginative expression,buanna fabraice agus snáithín mar mheáin le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain
design and make a costume,culaithirt a dhearadh agus a dhéanamh
"make drawings based on themes reflecting broadening interests, experiences and feelings","líníochtaí bunaithe ar théamaí a léiríonn spéiseanna, eispéiris agus mothúcháin fhorásacha a dhéanamh"
"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces, demonstrating increasing sensitivity and control","triail a bhaint as marcanna, línte, cruthanna, uigeacht, gréasa agus toin éagsúla a dhéanamh ar raon de dhromchlaí le huirlisí éagsúla agus breis íogaireachta agus smachta á léiriú"
draw imaginative themes using inventive pattern and detail,gréas agus mionsonraí airgtheacha a úsáid chun téamaí samhlaíocha a líniú
draw from observation,líníocht bunaithe ar bhreathnadóireacht a dhéanamh
discover how line could convey movement and rhythm,a fhionnachtain mar a d'fhéadfadh líne gluaiseacht agus rithim a chur in iúl
"look at and talk about his/her work, the work of other children and the work of artists","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé"
make imaginative structures,struchtúir shamhlaíocha a dhéanamh
make drawings from observation to analyse form and structure,líníochtaí bunaithe ar bhreathnóireacht a dhéanamh chun struchtúr agus foirm a anailísiú
explore and experiment with the properties and characteristics of materials in making structures,airíonna agus tréithe ábhar a iniúchadh agus triail a bhaint astu i ndéanamh struchtúr
"look at, investigate and talk about spatial arrangements, balance and outline in collections or photographs of natural and manufactured structures","socruithe spásúlachta, cothromaíochta agus imlíne i gcnuasaigh nó i ngrianghraif de struchtúir nádúrtha nó de struchtúir shaothraithe a bhreathnú, a iniúchadh agus a phlé"
"look at and talk about impressive examples of buildings created in the past in different parts of the world and at contemporary architecture, sculpture, engineering and design (slides or prints)","samplaí d'fhoirgnimh shuntasacha a tógadh san am atá thart in áiteanna éagsúla ar fud an domhain agus samplaí d'ailtireacht, de dhealbhóireacht d'innealtóireacht agus de dhearadh comhaimseartha a bhreathnú agus a phlé"
look at and talk about his/her work and the work of other children,a s(h)aothar féin agus saothar páistí eile a bhreathnú agus a phlé
"look at, handle and talk about natural and manufactured objects for experience of three-dimensional form","earraí nadúrtha nó earraí saothraithe a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar fhoirm thríthoiseach"
"look at and talk about ritual masks, street theatre masks and figures, and functional and decorative pottery from different cultures and different times (slides or prints)","dearcadh ar mhaisc dheasghnácha, ar mhaisc agus ar fhíoracha amharclainne sráide, agus ar photaireacht fheidhmiúil nó mhaisiúil ó chultúir agus amanna difriúla (sleamhnáin nó priontaí) agus iad a phlé"
"look at and talk about his/her work, the work of other children and the work of sculptors, including relief sculptures (prints or slides)","a s(h)aothar féin, saothar páistí eile agus saothar dealbhóra, dealbha rilífe san áireamh (priontaí nó sleamhnáin), a bhreathnú agus a phlé"
work inventively and expressively with papier mach+®,oibriú go hairgtheach léiritheach le papier maché
make simple pottery and sculpture,potaireacht agus dealbhóireacht shimplí a dhéanamh
make an imaginative slab-built structure,struchtúr samhlaíoch leac a thógáil
explore some of the essential characteristics of three-dimensional work,roinnt de na tréithe bunúsacha a bhaineann le saothar tríthoiseach a iniúchadh
explore and discover the possibilities of clay as a medium for imaginative expression,buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain
"experiment with and develop line, shape, texture and pattern in low relief","triail a bhaint as líne, as cruth, as uigeacht agus as gréas a úsáid i rilíf íseal agus an teicníocht a fhorbairt"
use more complex print-making techniques to make theme-based or non-representational prints,úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh
use a computer art program to create original images that are not dependent on clip art,ríomhchlár ealaíne a úsáid chun buníomhánna nach bhfuil ag brath ar phictiúir ghearrtha a chruthú
make prints for functional uses (as well as for their own sake),monaiphriontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)
experiment with more complex printmaking techniques,taighde a dhéanamh ar raon níos coimpléascaí de theicníochtaí priontála
"look at, handle and talk about natural and manufactured objects for experience of texture, shape and pattern","earraí nádúrtha agus earraí saothraithe a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar uigeacht, ar chruth agus ar ghréas"
"look at and talk about his/her work, the work of other children and art prints or print design that demonstrate a variety of print-making techniques","a s(h)aothar féin, saothar páistí eile, priontaí ealaíne nó priontdhearadh a léiríonn teicníochtaí éagsúla priontála a bhreathnú agus a phlé"
paint from observation,péinteáil bunaithe ar bhreathnóireacht
make paintings based on recalled feelings and experiences and discover ways of achieving spatial effects,pictiúir bunaithe ar mhothúcháin agus ar eispéiris mheabhraithe a dhéanamh agus slite chun maisíochtaí spásúlacha a bhaint amach a fhionnachtain
express his/her imaginative life and interpret imaginative themes using colour expressively,a s(h)aol samhalta a chur in iúl agus téamaí samhalta a léirmhíniú trí dhath a úsáid go lánléiritheach
explore the relationship between how things feel and how they look,an coibhneas idir mothú agus cuma rudaí a iniúchadh
"explore colour with a variety of colour drawing instruments, media and techniques","dath a iniúchadh trí fheidhm a bhaint as raon d'uirlisí líníochta, de mhéain agus de theicníochtaí dathaithe"
discover pattern and rhythm in natural and manufactured objects,gréas agus rithim a fhionnachtain in earraí nádúrtha agus in earraí saothraithe
discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,comhréiteach agus codarsnacht a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnaíodh i ngeall ar a bhféidearthachtaí datha
become sensitive to increasingly subtle colour differences and tonal variations in natural and manufactured objects,a bheith íogaireach do dhifríochtaí níos fíneálta datha agus do thoin éagsúla in earraí nádúrtha agus in earraí saothraithe
"look at and talk about his/her work, the work of other children and the work of artists","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé"
"look at, handle and talk about a variety of fabrics and fibres for experience of tactile, visual and spatial qualities","raon d'fhabraicí agus de shnáithíní éagsúla a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar cháilíochtaí tadhaill, spásúlachta agus amhairc"
look at fabric crafts and artefacts and visit a craftsperson at work if possible,"ceird agus píosaí fabraice ón gceardaí a bhreathnú agus a phlé agus, más féidir, cuairt a thabhairt ar cheardaí i mbun oibre"
"look at and talk about woven, embroidered, knitted and other fabrics, including interesting items of clothing from different times and cultures, and explore the role of textiles in culture","fabraicí fite, cniotáilte, cróiseáilte agus fabraicí eile chomh maith le baill éadaigh spéisiúla a bhaineann le tréimhsí agus le cultúir éagsúla a bhreathnú agus a phlé; tábhacht fabraice i gcultúr a iniúchadh"
look at and talk about his/her work and the work of other children,a s(h)aothar féin agus saothar páistí eile a bhreathnú agus a phlé
make small inventive pieces in fabric and fibre,píosaí beaga airgtheacha a dhéanamh i bhfabraic agus i snáithín
make simple character toys,bréagáin shimplí de phearsana a dhéanamh
explore and discover the possibilities of fabric and fibre as media for imaginative expression,buanna fabraice agus snáithín mar mheáin le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain
design and make a costume,culaithirt a dhearadh agus a dhéanamh
"make drawings based on themes reflecting broadening interests, experiences and feelings","líníochtaí bunaithe ar théamaí a léiríonn spéiseanna, eispéiris agus mothúcháin fhorásacha a dhéanamh"
"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces, demonstrating increasing sensitivity and control","triail a bhaint as marcanna, línte, cruthanna, uigeacht, gréasa agus toin éagsúla a dhéanamh ar raon de dhromchlaí le huirlisí éagsúla agus breis íogaireachta agus smachta á léiriú"
draw imaginative themes using inventive pattern and detail,gréas agus mionsonraí airgtheacha a úsáid chun téamaí samhlaíocha a líniú
draw from observation,líníocht bunaithe ar bhreathnadóireacht a dhéanamh
discover how line could convey movement and rhythm,a fhionnachtain mar a d'fhéadfadh líne gluaiseacht agus rithim a chur in iúl
"look at and talk about his/her work, the work of other children and the work of artists","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé"
make imaginative structures,struchtúir shamhlaíocha a dhéanamh
make drawings from observation to analyse form and structure,líníochtaí bunaithe ar bhreathnóireacht a dhéanamh chun struchtúr agus foirm a anailísiú
explore and experiment with the properties and characteristics of materials in making structures,airíonna agus tréithe ábhar a iniúchadh agus triail a bhaint astu i ndéanamh struchtúr
"look at, investigate and talk about spatial arrangements, balance and outline in collections or photographs of natural and manufactured structures","socruithe spásúlachta, cothromaíochta agus imlíne i gcnuasaigh nó i ngrianghraif de struchtúir nádúrtha nó de struchtúir shaothraithe a bhreathnú, a iniúchadh agus a phlé"
"look at and talk about impressive examples of buildings created in the past in different parts of the world and at contemporary architecture, sculpture, engineering and design (slides or prints)","samplaí d'fhoirgnimh shuntasacha a tógadh san am atá thart in áiteanna éagsúla ar fud an domhain agus samplaí d'ailtireacht, de dhealbhóireacht d'innealtóireacht agus de dhearadh comhaimseartha a bhreathnú agus a phlé"
look at and talk about his/her work and the work of other children,a s(h)aothar féin agus saothar páistí eile a bhreathnú agus a phlé
"look at, handle and talk about natural and manufactured objects for experience of three-dimensional form","earraí nadúrtha nó earraí saothraithe a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar fhoirm thríthoiseach"
"look at and talk about ritual masks, street theatre masks and figures, and functional and decorative pottery from different cultures and different times (slides or prints)","dearcadh ar mhaisc dheasghnácha, ar mhaisc agus ar fhíoracha amharclainne sráide, agus ar photaireacht fheidhmiúil nó mhaisiúil ó chultúir agus amanna difriúla (sleamhnáin nó priontaí) agus iad a phlé"
"look at and talk about his/her work, the work of other children and the work of sculptors, including relief sculptures (prints or slides)","a s(h)aothar féin, saothar páistí eile agus saothar dealbhóra, dealbha rilífe san áireamh (priontaí nó sleamhnáin), a bhreathnú agus a phlé"
work inventively and expressively with papier mach+®,oibriú go hairgtheach léiritheach le papier maché
make simple pottery and sculpture,potaireacht agus dealbhóireacht shimplí a dhéanamh
make an imaginative slab-built structure,struchtúr samhlaíoch leac a thógáil
explore some of the essential characteristics of three-dimensional work,roinnt de na tréithe bunúsacha a bhaineann le saothar tríthoiseach a iniúchadh
explore and discover the possibilities of clay as a medium for imaginative expression,buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain
"experiment with and develop line, shape, texture and pattern in low relief","triail a bhaint as líne, as cruth, as uigeacht agus as gréas a úsáid i rilíf íseal agus an teicníocht a fhorbairt"
use a widening range of print-making techniques to make theme-based or non-representational prints,raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh
use a computer art program to create original images that are not dependent on clip art,ríomhchlár ealaíne a úsáid chun buníomhánna nach bhfuil ag brath ar phictiúir ghearrtha a chruthú
make prints for functional uses (as well as for their own sake),monaiphriontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)
experiment with a widening range of printmaking techniques,triail a bhaint as raon níos leithne teicníochtaí chun priontaí a dhéanamh
"look at, handle and talk about natural and manufactured objects for experience of texture, shape, pattern","earraí nádúrtha agus earraí saothraithe a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar uigeacht, ar chruth agus ar ghréas"
"look at and talk about his/her work, the work of other children and art prints or print design that emphasise the play of shape, texture or line","a s(h)aothar féin, saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha, uigeachta nó líne a bhreathnú agus a phlé"
look at and talk about examples of design in everyday use,samplaí de dhearadh choitianta a bhreathnú agus a phlé
paint from observation,péinteáil bunaithe ar bhreathnóireacht
"make paintings based on recalled feelings and experiences, exploring the spatial effects of colour and tone, using overlapping, and with some consideration of scale","pictiúir bunaithe ar mhothúcháin agus ar eispéiris mheabhraithe a dhéanamh agus tionchair spásúlacha dhatha agus thoin a iniúchadh, rádalú a úsáid agus roinnt tuisceana ar scála a léiriú"
express his/her imaginative life and interpret imaginative themes using colour expressively,a s(h)aol samhalta a chur in iúl agus téamaí samhalta a léirmhíniú trí dhath a úsáid go lánléiritheach
explore the relationship between how things feel and how they look,an coibhneas idir mothú agus cuma rudaí a iniúchadh
explore colour with a variety of materials and media,dath a iniúchadh le raon d'ábhair agus de mheáin
discover pattern and rhythm in natural and manufactured objects and use them purposefully in his/her work,gréas agus rithim a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus iad a úsáid go feidhmiúil ina c(h)uid oibre
discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,comhréiteach agus codarsnacht a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnaíodh i ngeall ar a bhféidearthachtaí datha
discover colour in the visual environment and become sensitive to colour differences and tonal variations through colour mixing,dath a fhionnachtain san amharcthimpeallacht agus éirí íogaireach do dhifríochtaí datha agus d'athruithe toin de thoradh dathanna a mheascadh
"look at and talk about his/her work, the work of other children and the work of artists","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé"
"look at, handle and talk about a variety of fabrics and fibres for experience of tactile, visual and spatial qualities","raon d'fhabraicí agus de shnáithíní éagsúla a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar cháilíochtaí tadhaill, spásúlachta agus amhairc"
"look at and talk about woven, embroidered, knitted and other fabrics, including interesting items of clothing from different times and cultures","fabraicí fite, bróidnithe agus cniotáilte agus fabraicí eile maille le píosaí spéisiúla éadaigh ó amanna agus ó chultúir eile a bhreathnú agus a phlé"
look at and talk about his/her work and the work of other children,a s(h)aothar féin agus saothar páistí eile a bhreathnú agus a phlé
look at and talk about fabric crafts and artefacts and visit a craftsperson at work if possible,"ceird agus píosaí fabraice ón gceardaí a bhreathnú agus a phlé agus, más féidir, cuairt a thabhairt ar cheardaí i mbun oibre"
"make soft toys, emphasising individuality and variety",bréagáin bhoga a dhéanamh agus béim á leagan ar indibhidiúlacht agus ar éagsúlacht
make small inventive pieces in fabric and fibre,píosaí beaga airgtheacha a dhéanamh i bhfabraic agus i snáithín
invent a costume for a character from a story or use fabric as a stimulus for an exotic costume design,culaithirt a chumadh do charachtar i scéal nó fabraic a úsáid mar spreagthach le haghaidh culaithirte andúchasaí
explore and discover the possibilities of fabric and fibre as media for imaginative expression,buanna fabraice agus snáithín mar mheáin le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain
"make drawings from recalled experiences, emphasising pattern, detail, context and location","líníochtaí bunaithe ar eispéiris mheabhruithe a dhéanamh agus béim a chur ar ghréas, ar mhionsonraí, ar chomhthéacs agus ar shuíomh"
express his/her imaginative life and interpret imaginative themes using inventive pattern and detail,a s(h)aol samhalta a léiriú agus téamaí samhalta a léirmhíniú trí fheidhm a bhaint as gréas airgtheach agus mionsonraí
"experiment with the marks, lines, shapes,textures, patterns and tones that can be made with different drawing instruments on a range of surfaces","triail a bhaint as marcanna, línte, cruthanna, uigeacht, gréasa agus toin dhifriúla a dhéanamh ar raon de dhromchlaí le huirlisí líníochta éagsúla"
draw from observation,líníocht bunaithe ar bhreathnadóireacht a dhéanamh
"look at and talk about his/her work, the work of other children and the work of artists","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé"
make imaginative structures,struchtúir shamhlaíocha a dhéanamh
make drawings from observation to analyse the structures of buildings and the natural structures of plants,líníochtaí bunaithe ar bhreathnú a dhéanamh chun struchtúir foirgneamh agus struchtúir nádúrtha plandaí a anailísiú
explore and experiment with the properties and characteristics of materials in making structures,airíonna agus tréithe ábhar a iniúchadh agus triail a bhaint astu i ndéanamh struchtúr
"look at collections or photographs of natural and built structures and investigate spatial arrangements, balance, outline","cnuasaigh nó grianghraif de struchtúir nádúrtha agus de struchtúir thógtha a bhreathnú agus na socruithe spásúlacha, cothromaíochta agus imlíne a iniúchadh"
look at and talk about interesting examples of contemporary architecture and the work of great architects and builders of history,samplaí spéisiúla d'ailtireacht chomhaimseartha maille le saothar ailtirí agus foirgneoirí mór le rá a bhreathnú agus a phlé
look at and talk about his/her work and the work of other children,a s(h)aothar féin agus saothar páistí eile a bhreathnú agus a phlé
"look at, handle and talk about natural and manufactured objects for experience of three-dimensional form","earraí nadúrtha nó earraí saothraithe a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar fhoirm thríthoiseach"
"look at and talk about ritual masks, street theatre masks and figures, and functional and decorative pottery (or slides or prints)","breathnú ar mhaisc dheasghnácha, ar mhaisc agus fhíoracha amharclainne sráide agus ar photaireacht fheidmiúil agus mhaisiúil (nó ar shleamhnáin nó phriontaí) agus iad a phlé"
"look at and talk about his/her work, the work of other children and figurative and non-representational pieces of sculpture (slides or prints)","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar phíosaí dealbhóireachta fáthaí agus neamhléirithí (sleamhnáin nó priontaí) agus iad a phlé"
work inventively and expressively with papier mach+®,oibriú go hairgtheach léiritheach le papier maché
work inventively and expressively with cubes or oblong blocks of clay,obair airgtheach lánléiritheach a dhéanamh le ciúbanna nó le bloic dhronuilleacha cré
make sturdy figures in clay using the medium expressively and with imaginative detail,an meán a úsáid go léiritheach agus le mionsonraí samhalta chun dealbha urrúnta cré a chruthú
make simple clay pots,potaí simplí cré a dhéanamh
explore and discover the possibilities of clay as a medium for imaginative expression,buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain
"develop line, shape, texture and pattern in clay","líne, cruth, uigeacht agus gréas a fhorbairt i gcré"
use a widening range of print-making techniques to make theme-based or non-representational prints,raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh
use a computer art program to create original images that are not dependent on clip art,ríomhchlár ealaíne a úsáid chun buníomhánna nach bhfuil ag brath ar phictiúir ghearrtha a chruthú
make prints for functional uses (as well as for their own sake),monaiphriontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)
experiment with a widening range of printmaking techniques,triail a bhaint as raon níos leithne teicníochtaí chun priontaí a dhéanamh
"look at, handle and talk about natural and manufactured objects for experience of texture, shape, pattern","earraí nádúrtha agus earraí saothraithe a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar uigeacht, ar chruth agus ar ghréas"
"look at and talk about his/her work, the work of other children and art prints or print design that emphasise the play of shape, texture or line","a s(h)aothar féin, saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha, uigeachta nó líne a bhreathnú agus a phlé"
look at and talk about examples of design in everyday use,samplaí de dhearadh choitianta a bhreathnú agus a phlé
paint from observation,péinteáil bunaithe ar bhreathnóireacht
"make paintings based on recalled feelings and experiences, exploring the spatial effects of colour and tone, using overlapping, and with some consideration of scale","pictiúir bunaithe ar mhothúcháin agus ar eispéiris mheabhraithe a dhéanamh agus tionchair spásúlacha dhatha agus thoin a iniúchadh, rádalú a úsáid agus roinnt tuisceana ar scála a léiriú"
express his/her imaginative life and interpret imaginative themes using colour expressively,a s(h)aol samhalta a chur in iúl agus téamaí samhalta a léirmhíniú trí dhath a úsáid go lánléiritheach
explore the relationship between how things feel and how they look,an coibhneas idir mothú agus cuma rudaí a iniúchadh
explore colour with a variety of materials and media,dath a iniúchadh le raon d'ábhair agus de mheáin
discover pattern and rhythm in natural and manufactured objects and use them purposefully in his/her work,gréas agus rithim a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus iad a úsáid go feidhmiúil ina c(h)uid oibre
discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,comhréiteach agus codarsnacht a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnaíodh i ngeall ar a bhféidearthachtaí datha
discover colour in the visual environment and become sensitive to colour differences and tonal variations through colour mixing,dath a fhionnachtain san amharcthimpeallacht agus éirí íogaireach do dhifríochtaí datha agus d'athruithe toin de thoradh dathanna a mheascadh
"look at and talk about his/her work, the work of other children and the work of artists","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé"
"look at, handle and talk about a variety of fabrics and fibres for experience of tactile, visual and spatial qualities","raon d'fhabraicí agus de shnáithíní éagsúla a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar cháilíochtaí tadhaill, spásúlachta agus amhairc"
"look at and talk about woven, embroidered, knitted and other fabrics, including interesting items of clothing from different times and cultures","fabraicí fite, bróidnithe agus cniotáilte agus fabraicí eile maille le píosaí spéisiúla éadaigh ó amanna agus ó chultúir eile a bhreathnú agus a phlé"
look at and talk about his/her work and the work of other children,a s(h)aothar féin agus saothar páistí eile a bhreathnú agus a phlé
look at and talk about fabric crafts and artefacts and visit a craftsperson at work if possible,"ceird agus píosaí fabraice ón gceardaí a bhreathnú agus a phlé agus, más féidir, cuairt a thabhairt ar cheardaí i mbun oibre"
"make soft toys, emphasising individuality and variety",bréagáin bhoga a dhéanamh agus béim á leagan ar indibhidiúlacht agus ar éagsúlacht
make small inventive pieces in fabric and fibre,píosaí beaga airgtheacha a dhéanamh i bhfabraic agus i snáithín
invent a costume for a character from a story or use fabric as a stimulus for an exotic costume design,culaithirt a chumadh do charachtar i scéal nó fabraic a úsáid mar spreagthach le haghaidh culaithirte andúchasaí
explore and discover the possibilities of fabric and fibre as media for imaginative expression,buanna fabraice agus snáithín mar mheáin le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain
"make drawings from recalled experiences, emphasising pattern, detail, context and location","líníochtaí bunaithe ar eispéiris mheabhruithe a dhéanamh agus béim a chur ar ghréas, ar mhionsonraí, ar chomhthéacs agus ar shuíomh"
express his/her imaginative life and interpret imaginative themes using inventive pattern and detail,a s(h)aol samhalta a léiriú agus téamaí samhalta a léirmhíniú trí fheidhm a bhaint as gréas airgtheach agus mionsonraí
"experiment with the marks, lines, shapes,textures, patterns and tones that can be made with different drawing instruments on a range of surfaces","triail a bhaint as marcanna, línte, cruthanna, uigeacht, gréasa agus toin dhifriúla a dhéanamh ar raon de dhromchlaí le huirlisí líníochta éagsúla"
draw from observation,líníocht bunaithe ar bhreathnadóireacht a dhéanamh
"look at and talk about his/her work, the work of other children and the work of artists","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé"
make imaginative structures,struchtúir shamhlaíocha a dhéanamh
make drawings from observation to analyse the structures of buildings and the natural structures of plants,líníochtaí bunaithe ar bhreathnú a dhéanamh chun struchtúir foirgneamh agus struchtúir nádúrtha plandaí a anailísiú
explore and experiment with the properties and characteristics of materials in making structures,airíonna agus tréithe ábhar a iniúchadh agus triail a bhaint astu i ndéanamh struchtúr
"look at collections or photographs of natural and built structures and investigate spatial arrangements, balance, outline","cnuasaigh nó grianghraif de struchtúir nádúrtha agus de struchtúir thógtha a bhreathnú agus na socruithe spásúlacha, cothromaíochta agus imlíne a iniúchadh"
look at and talk about interesting examples of contemporary architecture and the work of great architects and builders of history,samplaí spéisiúla d'ailtireacht chomhaimseartha maille le saothar ailtirí agus foirgneoirí mór le rá a bhreathnú agus a phlé
look at and talk about his/her work and the work of other children,a s(h)aothar féin agus saothar páistí eile a bhreathnú agus a phlé
"look at, handle and talk about natural and manufactured objects for experience of three-dimensional form","earraí nadúrtha nó earraí saothraithe a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar fhoirm thríthoiseach"
"look at and talk about ritual masks, street theatre masks and figures, and functional and decorative pottery (or slides or prints)","breathnú ar mhaisc dheasghnácha, ar mhaisc agus fhíoracha amharclainne sráide agus ar photaireacht fheidmiúil agus mhaisiúil (nó ar shleamhnáin nó phriontaí) agus iad a phlé"
"look at and talk about his/her work, the work of other children and figurative and non-representational pieces of sculpture (slides or prints)","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar phíosaí dealbhóireachta fáthaí agus neamhléirithí (sleamhnáin nó priontaí) agus iad a phlé"
work inventively and expressively with papier mach+®,oibriú go hairgtheach léiritheach le papier maché
work inventively and expressively with cubes or oblong blocks of clay,obair airgtheach lánléiritheach a dhéanamh le ciúbanna nó le bloic dhronuilleacha cré
make sturdy figures in clay using the medium expressively and with imaginative detail,an meán a úsáid go léiritheach agus le mionsonraí samhalta chun dealbha urrúnta cré a chruthú
make simple clay pots,potaí simplí cré a dhéanamh
