english,irish
"Sending, receiving and travelling","Seoladh, glacadh agus taisteal"
Understanding and appreciation of games,Cluichí a chiallú agus a léirthuiscint
Movement,Luail
Understanding and appreciation of gymnastics,An ghleacaíocht a chiallú agus a léirthuiscint
Orienteering,Treodóireacht
Outdoor challenges,Dushláin lasmuigh
Understanding and appreciation of outdoor and adventure activities,Gníomhaíochtaí lasmuigh agus gníomhaíochtaí eachtraíochta a chiallú agus a léirthuiscint
Walking,Siúl
"Walking, cycling and camping activities","Siúl, rothaíocht agus gníomhaíochtaí campála"
Water-based activities,Gníomhaíochtaí uisce 
Forces,Fórsaí
Heat,Teas
Light,Solas
Magnetism and electricity,Maighnéadas agus leictreachas 
Sound,Fuaim 
Caring for my locality,Cúram de mo thimpeallacht 
Caring for the environment,Cúram imshaoil
Environmental awareness,Feasacht imshaoil
Science and the environment,Eolaíocht agus an t-imshaol
Human Life,An bheatha dhaonna
Myself,Mise
Plant and animal life,Plandaí agus ainmhithe
Plants and Animals,Plandaí agus ainmhithe
Materials and change,Ábhair agus athrú
Properties and characteristics of materials,Airíonna agus tréithe ábhar
Growing and changing,Ag fás agus ag athrú
Making decisions,Ag déanamh cinntí
Safety and protection,Sábháilteacht agus cosaint
Self-identity,Féinaithne
Taking care of my body,Ag tabhairt aire do mo chorp
My friends and other people,Mo chairde agus daoine eile
Myself and my family,Mise agus mo theaghlach
Relating to Others,Caidreamh le daoine eile 
Developing citizenship,Ag forbairt saoránachta
Media education,Oideachas na meán cumarsáide 
Developing Form in Clay,Forbairt foirme i gcré
Looking and Responding,Breathnú agus freagairt 
Looking and Responding,Breathnú agus freagairt 
Making Constructions,Struchtúir a dhéanamh
Looking and Responding,Breathnú agus freagairt 
Making Drawings,Líníochtaí a dhéanamh
Creating in Fabric and Fibre,Cruthú le fabraic agus le snáithín
Looking and Responding,Breathnú agus freagairt 
Looking and Responding,Breathnú agus freagairt 
Painting,Péinteáil
Looking and Responding,Breathnú agus freagairt 
Making Prints,Priontaí a dhéanamh
