english,irish
how he/she enjoyed making the drawing,an taitneamh a bhain sé/sí as an líníocht a dhéanamh
how the artist might have worked,conas mar a d'oibrigh an t-ealaíontóir
the different kinds of marks made,na saghsanna éagsúla marcanna a rinneadh
"curvy, straight-edged, big, small, simple, complicated shapes","rud cuarach, mór, beag, simplí, rud a bhfuil corr dhíreach air, cruthanna casta"
"line in stones, leaves, hanks of yarn","líne i gclocha, i nduilleoga, in iornaí snátha"
exploring the mark-making possibilities ofcomputer drawing tools,na féidearthachtaí chun marcanna a dhéanamh atá ag uirlisí líníochta ar ríomhaire a iniúchadh
"wriggly, smudgy, gritty, very light, very dark crayons, soft pencils, chalks, textured papers","lúbarnach, smeartha, griothalach, criáin an-éadrom, an-dorcha, pinn luaidhe boga, cailceanna, páipéir uigeacha"
interpreting some of these textures in markmaking and rubbings,saghsanna áirithe uigeachta a léirmhíniú trí mharcanna agus chuimealtáin a dhéanamh
texture in natural and manufactured objects,uigeacht in earraí nádúrtha agus in earraí saothraithe
dreams and longings,brionglóidí agus tnútháin
home and play,an baile agus súgradh
special occasions,ócáidí speisialta
describing what is happening in the drawing,cur síos ar a bhfuil ag titim amach sa líníocht
his/her favourite part,an mhionpháirt is mó a thaitníonn leis/léi féin
how he/she enjoyed making the drawing,an taitneamh a bhain sé/sí as an líníocht a dhéanamh
how the artist might have worked,conas mar a d'oibrigh an t-ealaíontóir
the different kinds of marks made,na saghsanna éagsúla marcanna a rinneadh
"curvy, straight-edged, big, small, simple, complicated shapes","rud cuarach, mór, beag, simplí, rud a bhfuil corr dhíreach air, cruthanna casta"
"line in stones, leaves, hanks of yarn","líne i gclocha, i nduilleoga, in iornaí snátha"
exploring the mark-making possibilities ofcomputer drawing tools,na féidearthachtaí chun marcanna a dhéanamh atá ag uirlisí líníochta ar ríomhaire a iniúchadh
"wriggly, smudgy, gritty, very light, very dark crayons, soft pencils, chalks, textured papers","lúbarnach, smeartha, griothalach, criáin an-éadrom, an-dorcha, pinn luaidhe boga, cailceanna, páipéir uigeacha"
interpreting some of these textures in markmaking and rubbings,saghsanna áirithe uigeachta a léirmhíniú trí mharcanna agus chuimealtáin a dhéanamh
texture in natural and manufactured objects,uigeacht in earraí nádúrtha agus in earraí saothraithe
dreams and longings,brionglóidí agus tnútháin
home and play,an baile agus súgradh
special occasions,ócáidí speisialta
discovering how different textures feel and how they compare when put together,mar a mhothaíonn raon d'ábhair a bhfuil uigeacht dhifriúil acu agus an chomparáid eatarthu nuair a chuirtear le chéile iad a fhionnachtain
"discovering the effects that can be created by adding a variety of strings, ribbons or large beads","na torthaí is féidir a chruthú trí chordaí, ribíní agus choirníní móra éagsúla a chur leis a fhionnachtain"
investigating open-weave fabric (e.g. hessian),turgnamh ar fhabraic fhí-oscailte (m.sh. heiseán)
for an imaginary character,do phearsa shamhailteach
'dressing up' a life-size drawing of him/herself or of an imaginary creature,"líníocht, ar thomhas nádúrtha, de/di féin nó de chréatúr samhailteach a ghléasadh"
"developing a colourful theme in a simple collage of fabrics, fibres, beads, buttons","téama dathannach a fhorbairt ina cholláis shimplí d'fhabraicí, shnáithíní, choirníní agus chnaipí"
"making a collage with the emphasis on rhythm (e.g. talking about moving, swirling water)",colláis a dhéanamh leis an mbéim ar rithim (m.sh. uisce ag gluaiseacht go guairneánach a phlé)
making a collage with the emphasis on texture,colláis a dhéanamh leis an mbéim ar uigeacht
describing the piece of work,cur síos a dhéanamh ar an saothar
how he/she enjoyed making it,mar a thaitin sé leis/léi an déantúsán a dhéanamh
"the colours used to create shapes, textures, patterns","na dathanna a úsáideadh chun uigeacht, cruthanna agus gréasa a chruthú"
what he/she likes best about the work,an ghné den saothar is mó a thaitníonn leis/léi
colour and pattern,dath agus gréas
"curtains, towels, dishcloths, clothes, ropes made of natural and synthetic fibres","uirtíní, tuáillí, ceirteanna soithí, éadach, rópaí déanta de shnáithíní nádúrtha nó de shnáithíní sintéiseacha"
finely or thickly woven,fite go mín nó go tiubh
"soft, fluffy, coarse, stiff, warm, cool","bog, clúmhach, garbh, righin, te, fuar"
discovering how different textures feel and how they compare when put together,mar a mhothaíonn raon d'ábhair a bhfuil uigeacht dhifriúil acu agus an chomparáid eatarthu nuair a chuirtear le chéile iad a fhionnachtain
"discovering the effects that can be created by adding a variety of strings, ribbons or large beads","na torthaí is féidir a chruthú trí chordaí, ribíní agus choirníní móra éagsúla a chur leis a fhionnachtain"
investigating open-weave fabric (e.g. hessian),turgnamh ar fhabraic fhí-oscailte (m.sh. heiseán)
for an imaginary character,do phearsa shamhailteach
'dressing up' a life-size drawing of him/herself or of an imaginary creature,"líníocht, ar thomhas nádúrtha, de/di féin nó de chréatúr samhailteach a ghléasadh"
"developing a colourful theme in a simple collage of fabrics, fibres, beads, buttons","téama dathannach a fhorbairt ina cholláis shimplí d'fhabraicí, shnáithíní, choirníní agus chnaipí"
"making a collage with the emphasis on rhythm (e.g. talking about moving, swirling water)",colláis a dhéanamh leis an mbéim ar rithim (m.sh. uisce ag gluaiseacht go guairneánach a phlé)
making a collage with the emphasis on texture,colláis a dhéanamh leis an mbéim ar uigeacht
describing the piece of work,cur síos a dhéanamh ar an saothar
how he/she enjoyed making it,mar a thaitin sé leis/léi an déantúsán a dhéanamh
"the colours used to create shapes, textures, patterns","na dathanna a úsáideadh chun uigeacht, cruthanna agus gréasa a chruthú"
what he/she likes best about the work,an ghné den saothar is mó a thaitníonn leis/léi
colour and pattern,dath agus gréas
"curtains, towels, dishcloths, clothes, ropes made of natural and synthetic fibres","uirtíní, tuáillí, ceirteanna soithí, éadach, rópaí déanta de shnáithíní nádúrtha nó de shnáithíní sintéiseacha"
finely or thickly woven,fite go mín nó go tiubh
"soft, fluffy, coarse, stiff, warm, cool","bog, clúmhach, garbh, righin, te, fuar"
describing what is happening in the painting,cur síos ar a bhfuil ag tarlú sa phictiúr
his/her favourite part,an mhionpháirt is mó a thaitníonn leis/léi féin
how he/she enjoyed making them,mar a thaitin sé leis/léi iad a dhéanamh
how the artist might have used colour,mar a bhain an t-ealaíontóir feidhm as dath
"the colours used to create lines, shapes and light and dark areas","na dathanna a úsáideadh chun línte, cruthanna agus achair gheala agus achair dhorcha a chruthú"
beginning to distinguish between lighter and darker colours,tús a chur le dathanna átá níos gile agus níos dorcha ná a chéile a idirdhealú
making paintings with a single colour and black and white,pictiúir a dhéanamh le dath amháin eile chomh maith le dubh agus bán
experimenting in matching their colours in an elementary way,triail a bhaint as a ndathanna a mheaitseáil go simplí
"stones, flowers, colour magazine cut-outs, fabric scraps","clocha, bláthanna, gearrthóga as irisí dathannacha, gearrthóga fabraice"
"texture created using paint, brushes and found objects in a variety of ways","péint, scuaba agus earraí coitianta a dtiocfaí orthu a úsáid i slite éagsúla chun uigeacht a chruthú"
texture in natural and manufactured objects,uigeacht in earraí nádúrtha agus in earraí saothraithe
experimenting with colour-mixing,turgnamh le dathanna a mheascadh
exploring the colour possibilities of computer painting tools,na féidearthachtaí datha atá ag uirlisí péintéireachta ar ríomhaire a iniúchadh
"paint, coloured pencils and crayons","péint, pinn luaidhe agus criáin dhathannacha"
"print, fabric and fibre","prionta, fabraic agus snáithín"
dreams and longings,brionglóidí agus tnútháin
home and play,an baile agus súgradh
special occasions,ócáidí speisialta
describing what is happening in the painting,cur síos ar a bhfuil ag tarlú sa phictiúr
his/her favourite part,an mhionpháirt is mó a thaitníonn leis/léi féin
how he/she enjoyed making them,mar a thaitin sé leis/léi iad a dhéanamh
how the artist might have used colour,mar a bhain an t-ealaíontóir feidhm as dath
"the colours used to create lines, shapes and light and dark areas","na dathanna a úsáideadh chun línte, cruthanna agus achair gheala agus achair dhorcha a chruthú"
beginning to distinguish between lighter and darker colours,tús a chur le dathanna átá níos gile agus níos dorcha ná a chéile a idirdhealú
making paintings with a single colour and black and white,pictiúir a dhéanamh le dath amháin eile chomh maith le dubh agus bán
experimenting in matching their colours in an elementary way,triail a bhaint as a ndathanna a mheaitseáil go simplí
"stones, flowers, colour magazine cut-outs, fabric scraps","clocha, bláthanna, gearrthóga as irisí dathannacha, gearrthóga fabraice"
"texture created using paint, brushes and found objects in a variety of ways","péint, scuaba agus earraí coitianta a dtiocfaí orthu a úsáid i slite éagsúla chun uigeacht a chruthú"
texture in natural and manufactured objects,uigeacht in earraí nádúrtha agus in earraí saothraithe
experimenting with colour-mixing,turgnamh le dathanna a mheascadh
exploring the colour possibilities of computer painting tools,na féidearthachtaí datha atá ag uirlisí péintéireachta ar ríomhaire a iniúchadh
"paint, coloured pencils and crayons","péint, pinn luaidhe agus criáin dhathannacha"
"print, fabric and fibre","prionta, fabraic agus snáithín"
dreams and longings,brionglóidí agus tnútháin
home and play,an baile agus súgradh
special occasions,ócáidí speisialta
"posters, wallpaper, fabrics with simple repeat or other design, packaging, wrapping paper","póstaeir, páipéar balla, fabraicí le dearadh athchóipeálta arís agus arís eile nó le dearadh de shaghas eile, ábhar pacála, páipéar beartán"
describing the print,cur síos a dhéanamh ar an bprionta
how he/she enjoyed making them,mar a thaitin sé leis/léi iad a dhéanamh
how the artist possibly made them,mar a rinne an t-ealaíontóir iad
"line, shape, texture, pattern","líne, cruth, uigeacht, gréas"
what he/she likes best about the print,an ghné den phrionta is mó a thaitníonn leis/léi
beginning to organise the print marks purposefully,tosú ar na marcanna priontála a eagrú le cuspóir cinnte
discovering how simple prints could be further developed (e.g. overprinting),conas priontaí simplí a fhorbairt a thuilleadh fós a iniúchadh (m.sh. forphriontáil)
with oddments that have interesting textures or shapes,le hearraí fuíll ag a bhfuil uigeacht nó cruthanna spéisiúla
"with one or two paint colours to help focus on texture, shape, pattern","le dath amháin nó le dhá dhath chun béim a leagan ar uigeacht, ar chruth agus ar ghréas"
experimenting with ways of repeating and combining examples of one or more prints,triail a bhaint as slite chun samplaí de phrionta nó phriontaí a athchóipeáil agus a chomhcheangal arís agus arís
from cut or torn pieces of thin polystyrene,le píosaí gearrtha nó stróicthe de pholaistiréin tanaí
from his/her own marks made in the clay,trí a m(h)arcanna féin a dhéanamh sa chré
from textured items pressed into a slab of clay,trí rudaí uigeacha a bhrú isteach i leac chré
making a variety of relief prints,priontaí éagsúla rilífeacha a dhéanamh
masking an area of an inked surface with pieces of paper cut or torn to own design,achar de dhromchla clúdaithe le dúch a mhascadh le píosaí páipéir a gearradh nó a stróiceadh de réir a d(h)earadh féin
printing with mask-outs,priontáil trí mhascadh
using computer experiments in shape and colour to design a print,ríomhthurgnaimh a dhéanamh le dath agus le cruth chun prionta a dhearadh
"posters, wallpaper, fabrics with simple repeat or other design, packaging, wrapping paper","póstaeir, páipéar balla, fabraicí le dearadh athchóipeálta arís agus arís eile nó le dearadh de shaghas eile, ábhar pacála, páipéar beartán"
describing the print,cur síos a dhéanamh ar an bprionta
how he/she enjoyed making them,mar a thaitin sé leis/léi iad a dhéanamh
how the artist possibly made them,mar a rinne an t-ealaíontóir iad
"line, shape, texture, pattern","líne, cruth, uigeacht, gréas"
what he/she likes best about the print,an ghné den phrionta is mó a thaitníonn leis/léi
beginning to organise the print marks purposefully,tosú ar na marcanna priontála a eagrú le cuspóir cinnte
discovering how simple prints could be further developed (e.g. overprinting),conas priontaí simplí a fhorbairt a thuilleadh fós a iniúchadh (m.sh. forphriontáil)
with oddments that have interesting textures or shapes,le hearraí fuíll ag a bhfuil uigeacht nó cruthanna spéisiúla
"with one or two paint colours to help focus on texture, shape, pattern","le dath amháin nó le dhá dhath chun béim a leagan ar uigeacht, ar chruth agus ar ghréas"
experimenting with ways of repeating and combining examples of one or more prints,triail a bhaint as slite chun samplaí de phrionta nó phriontaí a athchóipeáil agus a chomhcheangal arís agus arís
from cut or torn pieces of thin polystyrene,le píosaí gearrtha nó stróicthe de pholaistiréin tanaí
from his/her own marks made in the clay,trí a m(h)arcanna féin a dhéanamh sa chré
from textured items pressed into a slab of clay,trí rudaí uigeacha a bhrú isteach i leac chré
making a variety of relief prints,priontaí éagsúla rilífeacha a dhéanamh
masking an area of an inked surface with pieces of paper cut or torn to own design,achar de dhromchla clúdaithe le dúch a mhascadh le píosaí páipéir a gearradh nó a stróiceadh de réir a d(h)earadh féin
printing with mask-outs,priontáil trí mhascadh
using computer experiments in shape and colour to design a print,ríomhthurgnaimh a dhéanamh le dath agus le cruth chun prionta a dhearadh
"contribute ideas on where we should place each burrow in the warren, where the green area should be, and where we should have paths through the briars","a c(h)ion féin d'idéanna a thabhairt i dtaobh cén áit ar chóir gach poll aláithriú sa choinicéar, an áit ar cheart an phlásóg a bheith, agus an áit ar cheart na cosáin trí na driseacha a bheith"
"co-operate with others, in small groups, in making a scene between puppets","comhoibriú le daoine eile, i ngrúpaí beaga, agus radharc idir phuipéid á cheapadh"
"in a play about an ark, take turns making the sound of his/her animal","i ndráma i dtaobh áirce, uainíocht a dhéanamh ar a chéile, ag déanamh aithrise ar ghlór a (h)ainmhí féin"
"as rescuers, help the others to decide which songs they could sing for the king or queen so that he/she will not notice the prisoner being released","agus iad ina dtarrthálaithe, cuidiú le daoine eile cinneadh ar na hamhráin a d'fhéadfaidís canadh don rí nó don bhanríon ionas nach dtabharfadh sé/sí faoi deara an príosúnach á scaoileadh saor"
contribute ideas about what has to be done if this wet night must be spent on the hillside,a c(h)ion féin d'idéanna a chur i láthair i dtaobh cad ab fhearr a dhéanamh má tá an oíche bháistí seo le cur díobh ar an sliabh acu
help others to decide how best to find a way out of the forest,cuidiú le daoine eile a shocrú conas ab fhearr bealach as an bhforaois a aimsiú
"mar dhaoine atá ag dul go dtí an t-oileán, abair na rannta agus na hamhráin a shásóidh an bádóir","mar dhaoine atá ag dul go dtí an t-oileán, abair na rainn agus na hamhráin a shásóidh an bádóir"
"concentrate, with the group, on convincing the cowardly wizard that the frog will not harm him/her","i dteannta leis an ngrúpa, díriú go hiomlán ar a áiteamh ar an draoi meata nach ndéanfaidh an frog dochar ar bith dó/di"
"in a drama about a mountain rescue, concentrate on helping the whole group to follow the leader over the stepping-stones without anyone falling in","i ndráma faoi tharrtháil sléibhe, díriú go hiomlán ar chuidiú leis an ngrúpa ar fad an treoraí a leanúint thar an gclochán gan duine ar bith a thitim isteach san uisce"
"together with the other children decide, by concentrating on listening to the sounds of animals in the woods, whether it is safe to leave the tent","trí éisteacht go haireach le glórtha ainmhithe sa choill, a chinneadh i gcomhairle leis na páistí eile an mbeadh sé sábháilte an puball a fhágáil"
while making get-well cards for an bhábóg bhreoite the teacher keeps the focus on bábóg by telling the children about his/her own visit to the hospital,agus cártaí bisigh á ndéanamh aige don bhábóg bhreoite coinníonn an múinteoir an fócas ar an mbábóg trí insint do na páistí faoina c(h)uairt féin go dtí an t-ospidéal
"a ‘friendly’ stranger offers sweets to him/her and to other members of the group, who decide whether or not to take them",nuair a thairgeann strainséar 'cneasta' milseáin dó/di agus do chuid eile den ghrúpa cinneann an grúpa cibé a ghlacfaidh siad leo nó a mhalairt
"if one person (represented by a coat) falls into the stream, he/she, together with the group, will have to abandon the journey","má thiteann duine amháin (a seasann cóta dó) isteach sa sruthán, beidh air/uirthi agus ar an ngrúpa ar fad éirí as an turas"
"if the bear cannot go up the slippery slope, he/she will not be able to rescue the stranded penguin",murar féidir leis an mbéar dreapadh in aghaidh an aird shleamhain ní bheidh sé/sí in ann an phiongain thréighthe a tharrtháil
adopt the role of one of the children whom the lion asks to be his friends,ról duine de na páistí a n-iarrann an leon orthu a bheith ina gcairde aige a ghlacadh
adopt the role of the helper of the bear who wants to climb the slippery slope,ról chúntóir an bhéir ar mian leis dreapadh in aghaidh an aird shleamhain a ghlacadh
"in a drama about making a suitable village for tigers, be a person who wants, for example, a playground for baby tigers","ról duine atá, mar shampla, ag iarraidh clós imeartha a chur ar fáil do choileáin tíogair a ghlacadh i ndráma i dtaobh sráidbhaile oiriúnach a thógáil do thíogair"
take on different roles in a puppet drama,rólanna difriúla i ndráma puipéad a ghlacadh
be one of a group of toys in the shop when the owner comes and tells them that he/she will have to sell the shop or sell one of them,a chur i gcéill gur ball de bhaicle bréagán i siopa é/í nuair a thagann an siopadóir chun a rá leo go gcaithfidh sé/sí an siopa nó ceann acu féin a dhíol
move from dressing-up play into making dramas about the dressed-up characters,tosú le gléasadh súgarthach agus dul i dtreo déanamh drámaíochta i dtaobh na gcarachtar gléasta
"move from playing a chasing game to being tigers playing the same game, and thence into a drama about tigers that will retain the same energy as the original game",dul ó bheith ag gabháil do chluiche fiaigh i dtosach go bheith mar thíogar ag gabháil don chluiche céanna agus ina dhiaidh sin dul i dtreo drámaíochta i dtaobh tíogair ach a mbeidh an fuinneamh céanna ag baint léi agus a bhain leis an gcluiche tosaigh
move from playing at being a rabbit in a warren to becoming one of the rabbits in the group who has to find a way of dealing with a fox who keeps interrupting their grazing,dul ó chur i gcéill gur coinín aonair sa choinicéar é/í go bheith ina bhall de bhaicle coiníní a chaithfidh beart a cheapadh chun déileáil le sionnach a bhíonn de shíor ag cur isteach orthu le linn dóibh a bheith ag iníor
"the children wanting to visit an bhábóg bhreoite in hospital have to check the visiting hours, so they look up the telephone number and ring the hospital","ós rud é gur mhian leis na páistí cuairt a thabhairt ar an mbábóg bhreoite san ospidéal tá orthu na huaireanta cuartaíochta a dhearbhú agus, mar sin, breathnaíonn siad an uimhir theileafóin agus ghlaonn siad ar an ospidéal"
"the children, knowing that the elf has always been afraid of the dark and wishing him not to be afraid in the future, offer to help him to go to the wizard, who will cure him","ós rud é go bhfuil a fhios ag na páistí go mbíonn eagla ar an tsióg sa dorchadas i gcónaí agus gur mian leo nach mbeidh eagla uirthi feasta, tairgíonn siad í a thabhairt go dtí an draoi, duine a leigheasfaidh í"
"the rabbits’ previous experience of the fox chasing them, together with their desire to be safe, forces them to think about what they must do","cuireann an eachtra a d'éirigh do na coiníní nuair a chuaigh an sionnach sa tóir orthu, agus ina theannta sin an dúil atá acu fanacht slán, iachall orthu machnamh a dhéanamh i dtaobh an chaoi le gníomhú feasta"
a ruler becomes a saw or a magic wand,toireasc nó slaitín draíochta is ea rialóir
a table and chair represent a king’s or queen’s throne,seasann bord agus cathaoir do ríchathaoir rí nó bhanríona
imagine what is happening in a certain space if chairs and objects are arranged in a certain way,má dheasaítear cathaoireacha agus rudaí eile i slí áirithe féadfaidh an páiste a bhfuil ag titim amach sa spás sin a shamhlú
sheets of paper become stepping-stones across a stream,déantar clochán thar shruthán de leathanaigh pháipéir
"in a drama about bears going to school, consider what bears should put in their schoolbags in the morning","i ndrámaíocht i dtaobh béar ag dul ar scoil, a mheá cad ba chóir do bhéir a chur ina málaí scoile ar maidin"
"reflect on appropriate behaviour when visiting people in hospital, discussing and demonstrating how we show that we care about the person who is sick",léirsmaoineamh ar iompar cuí nuair a thugtar cuairt ar dhuine in ospidéal agus an dóigh lena thaispeáint gur cás linn an duine breoite a phlé agus a léiriú
speculate whether he/she and the other children could have persuaded the old woman to give them bread if they had been nicer to her,tuairim a chaitheamh arbh fhéidir leis/léi agus leis na páistí eile a áiteamh ar an tseanbhean arán a thabhairt dóibh dá mba rud é go raibh siad níos láiche léi
"in the drama about the tiger village, become one of the children who has to defend his/her plan when the chief tiger (the teacher in role) says that it will not serve the tigers’ purpose","ról duine de na páistí a ghlacadh sa dráma faoi shráidbhaile na dtíogar, páiste a chaitheann a p(h)lean a chosaint tar éis do thaoiseach na dtíogar (an múinteoir ag imirt i ról) a fhógairt nach n-oireann an plean sin do na tíogair"
show the lion who can’t make friends some of the strategies that the child uses in making friends,cuid de na straitéisí a mbaineann an páiste leas astu chun cairdeas a dhéanamh le daoine a léiriú don leon a bhfuil ag teip air cairdeas a dhéanamh
tell how he/she felt when the fairy had to walk in the snow without shoes,a insint mar a d'airigh sé/sí féin nuair ab éigean don tsióg siúl cosnochtaithe sa sneachta
tell if mother or father would do things differently from one of the characters in the drama,a rá an mbeadh modh oibre eile ag Mamaí nó Daidí le hais duine de charachtair an dráma
"contribute ideas on where we should place each burrow in the warren, where the green area should be, and where we should have paths through the briars","a c(h)ion féin d'idéanna a thabhairt i dtaobh cén áit ar chóir gach poll aláithriú sa choinicéar, an áit ar cheart an phlásóg a bheith, agus an áit ar cheart na cosáin trí na driseacha a bheith"
"co-operate with others, in small groups, in making a scene between puppets","comhoibriú le daoine eile, i ngrúpaí beaga, agus radharc idir phuipéid á cheapadh"
"in a play about an ark, take turns making the sound of his/her animal","i ndráma i dtaobh áirce, uainíocht a dhéanamh ar a chéile, ag déanamh aithrise ar ghlór a (h)ainmhí féin"
